story_id	bin	confidence	novelty	grade	pre_known	post_cutoff	earliest	news_match	deciding_types	what_we_add	headline
S001	Matched + more	medium	none	A	control	False	2021-04-14	True	news	$20.58M filed as lobby 'media' spending under one lobbyist (Abboud) across 62 monthly reports; 2.5x all other Texas lobbyists combined (70-71% share); about 4x Sands' ~$5.1M federal lobby fees in the same months	"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all o"
S002	Matched + more	high	none	B	press_checked_2026-09-24	False	2024-08-07	True	news,research	the chain-level numbers: 2.16 vs 3.35 nurse hours, 4.67 vs 1.23 harm citations per 100 beds (3.8x), fines 4.3x; no source has the citation or fine comparison	Reliant Care's 30 Missouri nursing homes log 35% fewer nurse hours and 3.8x the harm citat
S003	Matched + more	medium	none	B	blind	False	2011-11-30	True	news	49 failed-test days 2015-25, #1 of 29 big wet corn mills, 0 Iowa orders vs 7 Indiana orders at the twin plant, Iowa 19 vs Indiana 572 statewide	Grain Processing's Iowa corn mill failed smokestack tests 49 days in 2015-25, no state ord
S004	Matched + more	medium	none	B	blind	False	2025-07-01	True	news,research	the national top-20 total $1,126,228,007, the $76,937 Open Payments gap, Ravi Kapadia / Organogenesis $63,088, Impax 68.6% concentration	In 2024, 20 clinicians billed Medicare $1.13B for skin-substitute wound patches; the maker
S005	Matched + more	high	none	B	blind	False	2021-10-15	True	news	$193.7M across 19 groups 2014 to mid-2026, $0.36M to contributions, 58% labelled fundraising/caging, donor-overlap 15-74% with 13 look-alike FEC PACs	19 police, fire, veteran and cancer-named political groups spent about $194M, mostly on fu
S006	Matched + more	high	none	B	blind	False	2025-06-26	True	court,news,research	the alginate-specific share: $593,632,181 of $649,233,082 (91.4%), 494/359 dressings per claim vs 55 elsewhere	Two mail-order suppliers took $593.6M of the $649.2M Medicare paid for one kind of wound d
S007	Matched + more	medium	none	B	control	False	2026-05-27	False	company	31 of 282 active San Antonio hospice IDs (11.0%) in farms vs 0.53% elsewhere; Houston 4-7%, California 3.3%	"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one ad"
S008	Matched + more	medium	none	B	blind	False	2019-07-17	True	news	the persistence into the fentanyl era: 40.8 vs 20.2 per 100k in 2019-24 (2.0x) across 1,832 counties; Knox County #27 at 74.5; Food City #674 took 31% of Knox's 30mg+ oxycodone	Counties flooded with opioid pills in 2006-12 had 2x the overdose death rate in 2019-24, a
S009	Known pattern	medium	4	narrowed	blind	False		False	news		Phoenix's weather office logged 63% of the heat deaths in the federal storm file, then sto
S010	Matched + more	high	3	narrowed	blind	False	2023-11-11	True	news	the company-wide 3.2x for 2025 (third straight year) and the Ford 11.4 vs GM/Honda/Tesla/Toyota comparison, about 1.9x - no source has the Ford leg at all	SpaceX sites ran 3.2x their industry's injury rate in 2025, a third straight year; Ford ab
S011	Not comparable	medium	4	confirmed	blind	False		False	trade press		One urgent-care chain, Fast Pace, holds 189 of 731 new for-profit rural health clinics ope
S012	Matched + more	high	3	narrowed	blind	True	2025-04-14	False	research	the exact fall 43% to 16% on matching months, with FY25 at 33% - no source states the FY23-to-FY26 trend numbers	Share of ICE jail-hold requests (detainers) on people with a criminal conviction fell from
S013	Matched + more	high	3	narrowed	blind	False	2020-08-06	True	news,research	the 2,572-day count against the 234-day median probe - no source has the duration number or the median comparison	Federal car-safety regulators' Nissan Rogue phantom-braking probe has sat open 7 years, no
S014	Matched + more	high	3	narrowed	blind	False	2023-12-14	True	news	the 2023 figure (23.2%), the 56% national comparison, and the one-year 2018 cliff from 59% to 34%	New Mexico police cleared 22-23% of homicides in 2022-23, lowest in the nation, against 56
S015	Known pattern	medium	3	narrowed	blind	False		False	research		People arrested 2+ years after arriving had ICE bond posted 7% of the time in Louisiana, 2
S016	Contradicted	high	4	narrowed	blind	False		False	government		Nebraska air regulators filed zero formal enforcement actions 2017-2025; none of 17 seriou
S017	Unreported	medium	4	narrowed	blind	False		False			Three people on the federal health-fraud ban list are listed owners of six LA home health 
S018	Matched + more	high	3	narrowed	blind	False	2021-09-29	True	news,trade press	the 183-case count for Apple, Microsoft, AT&T and Walmart specifically, over disclosure years 2010-20	Judge Gilstrap was assigned 183 cases naming Apple, Microsoft, AT&T or Walmart while holdi
S019	Known pattern	medium	3	narrowed	blind	False		False	government,news		553 water permits broke pollution limits in 36+ of 40 quarters; 84 never had a formal enfo
S020	Matched + more	medium	2	confirmed	blind	False	2017-08-15	False	government,research	the 26% rise 2017-2025 and the all-41-Brightline-2024-deaths-were-trespassers cut - no source states the trend number	US rail trespasser deaths rose 26% to 838 from 2017 to 2025 while other rail casualties fe
S021	Unreported	high	4	narrowed	blind	False		False			$79,647 of lobbyist-paid private air and hotel: a New York trip with Sen. Angela Paxton an
S022	Known pattern	medium	4	narrowed	blind	False		False	government		40 big California water systems serving 4.2M people have no full sanitary inspection on EP
S023	Matched + more	high	3	unchecked	blind	False	2024-06-18	True	government,news	the 21% national share (34,369 of 160,219 lb), the 8.7x jump over its 2015-22 high, and the fall back to 2,433 lb in 2024	Dow's Plaquemine, Louisiana plant reported 34,369 lb of ethylene oxide air release in 2023
S024	Matched + more	medium	3	narrowed	lead_cites_press	False	2024-06-21	True	news,trade press	27 ex-clients moved to four Nigerian audit firms; the 218 base split into 143 re-audited (54 one-partner, 72 two-to-five-partner, 17 bigger firms) and 75 with no later audit	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75
S025	Known pattern	medium	3	narrowed	blind	False		False	government,news		Where EPA found hazardous-waste violations, Illinois state inspectors of the same site wro
S026	Matched + more	high	3	narrowed	blind	True	2025-07-31	True	news	the precise 46-of-48-lines-over-a-year-late count with the 244-953 day range and $1.74M floor, and the framing of Armstrong's 701 lines as one advisor-run account	Sen. Markwayne Mullin filed 48 stock trades from 2023-24 in summer 2025; 46 were over a ye
S027	Matched + more	high	2	narrowed	blind	False	2016-03-17	True	news,research	the 2024 refresh: 1.2-5.6x cost per claim at the $10K+ tier, brand-share rise in all 7 specialties, internal medicine $94 to $355	Doctors paid $10K+ by drug companies wrote prescriptions costing 1.2-5.6x more per claim, 
S028	Matched + more	medium	2	unchecked	blind	True	2025-05-27	False	research	the UK-only count: 358 of 620 UK-sanctioned ships not on OFAC, and 309 designated in 2024-25; Brookings only gives the combined EU+UK gap (524)	The UK sanctions 358 Russia shadow-fleet ships the US doesn't; 309 were listed in 2024-25
S029	Known pattern	medium	2	narrowed	blind	False		False	news,research		634 poor-condition dams whose failure could kill people have no emergency plan, about 300 
S030	Known pattern	high	4	unchecked	blind	False		False	news,research		Bankruptcy lawyers' groups paid for 41% of bankruptcy judges' trips in 2011-19, against 0.
