table	column	check	result	severity	proposed_fix
HEALTH.HEALTH__FED_FDA_FAERS_REAC		C1 view counted as a table	view; real rows 20621386	minor	catalog reads table_type and counts views with COUNT(*)
FINANCE.FINANCE__FED_SEC_13F_HOLDINGS		C1 view counted as a table	view; real rows 101261252	minor	catalog reads table_type and counts views with COUNT(*)
JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS		C1 view counted as a table	view; real rows 71677647	minor	catalog reads table_type and counts views with COUNT(*)
JUSTICE.JUSTICE__FED_COURTLISTENER_CITATIONS		C1 view counted as a table	view; real rows 18123788	minor	catalog reads table_type and counts views with COUNT(*)
HEALTH.HEALTH__FED_FDA_FAERS_DRUG		C1 view counted as a table	view; real rows 20914284	minor	catalog reads table_type and counts views with COUNT(*)
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL		C1 view counted as a table	view; real rows 20000000	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.HOSPITAL_CLOSURE_RISK_BY_STATE		C1 view counted as a table	view; real rows 55	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.OPIOID_PRESCRIBER_PAID_HIGH_RX		C1 view counted as a table	view; real rows 6020	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.OPIOID_PRESCRIBER_PAID_HIGH_RX_BY_STATE		C1 view counted as a table	view; real rows 51	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.CATALOG		C1 view counted as a table	view; real rows 9	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.EXCLUDED_PROVIDER_AT_FACILITY		C1 view counted as a table	view; real rows 39	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.PAC_FUNDS_BOTH_SIDES		C1 view counted as a table	view; real rows 2680	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.REVOKED_BUT_DEDUCTIBLE		C1 view counted as a table	view; real rows 22512	minor	catalog reads table_type and counts views with COUNT(*)
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2		C1 view counted as a table	view; real rows 93119582	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.REVOKED_BUT_DEDUCTIBLE_BY_STATE		C1 view counted as a table	view; real rows 59	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.EXCLUDED_PROVIDER_PAID_AFTER_EXCLUSION_IN_SHORTAGE		C1 view counted as a table	view; real rows 287	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.FEDERAL_CONTRACTOR_EPA_VIOLATOR		C1 view counted as a table	view; real rows 57	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.HOSPITAL_CLOSURE_RISK		C1 view counted as a table	view; real rows 4210	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.EXCLUDED_PROVIDER_PAID_AFTER_EXCLUSION		C1 view counted as a table	view; real rows 287	minor	catalog reads table_type and counts views with COUNT(*)
FINDINGS.MEMBER_MONEY_VS_OUTPUT		C1 view counted as a table	view; real rows 635	minor	catalog reads table_type and counts views with COUNT(*)
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL		C1 view counted as a table	view; real rows 128155142	minor	catalog reads table_type and counts views with COUNT(*)
FINANCE.FINANCE__FED_FEC_COMMITTEES_DIM		C1 view counted as a table	view; real rows 44398	minor	catalog reads table_type and counts views with COUNT(*)
CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	DAYS_RECEIVED_TO_COMPANY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0', '2', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_COUNTY	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01', '02', '04']	moderate	retire the regex catalog; tag with the platform tagger
CORE.DIM_COUNTY	COUNTY_NAME	C2 name tag holds something else	places; org words 0.1%, people 0.0%; e.g. ['Autauga', 'Baldwin', 'Barbour']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_COUNTY	STATE_NAME	C2 name tag holds something else	places; org words 0.1%, people 0.0%; e.g. ['Alabama', 'Alaska', 'Arizona']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_DATE	MONTH_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['January', 'February', 'March']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_DATE	DAY_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Sunday', 'Monday', 'Tuesday']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_STATE	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01', '02', '04']	moderate	retire the regex catalog; tag with the platform tagger
CORE.DIM_STATE	STATE_NAME	C2 name tag holds something else	places; org words 1.8%, people 0.0%; e.g. ['Alabama', 'Alaska', 'Arizona']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.DIM_TRACT	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['47', '48']	moderate	retire the regex catalog; tag with the platform tagger
CORE.DIM_ZIP_POINT	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['25', '19', '23']	moderate	retire the regex catalog; tag with the platform tagger
CORE.DIM_ZIP_POINT	COUNTY_NAME	C2 name tag holds something else	places; org words 96.8%, people 0.0%; e.g. ['worcester county', 'marion county', 'knox county']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORE.XWALK_HOSPITAL_CCN_EIN	CCN_NAME	C2 catalog regex tag wrong	CCN: 0.0% fit; e.g. ['PROVIDENCE HEALTH & SERVICES - OREGON', 'COMANCHE COUNTY HOSPITAL AUTHORITY', 'INTERNATIONAL FALLS MEMORIAL HOSPITAL ASSOCIATION']	moderate	retire the regex catalog; tag with the platform tagger
CORE.XWALK_ZCTA_COUNTY	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['72', '78', '25']	moderate	retire the regex catalog; tag with the platform tagger
CORE.XWALK_ZCTA_COUNTY	COUNTY_NAME	C2 name tag holds something else	places; org words 87.2%, people 0.0%; e.g. ['adjuntas municipio', 'utuado municipio', 'aguada municipio']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF	ORGANIZATION_CODE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '1', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_IE_CRO	COMPANY_ID	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['758038', '758039', '75804']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_IE_CRO	COMPANY_AGE_YEARS	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '46', '99']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE	COMPANY_CATEGORY	C2 name tag holds something else	things, not names; org words 95.9%, people 0.0%; e.g. ['Private Limited Company', 'Community Interest Company', 'Scottish Charitable Incorporated Organisation']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC	NAME_TITLE	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Mrs', 'Mr', 'Miss']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC	NAME_FORENAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Courtney', 'Liam', 'Caitlin']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC	ADDRESS_POSTAL_CODE	C2 catalog regex tag wrong	ZIP: 0.6% fit; e.g. ['PO3 5EE', 'BS8 3TU', 'SG18 9BA']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_BLS_QCEW	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['16', '37', '13']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	EIN	C2 tag fails its format	EIN: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	SPONSOR_DFE_EIN	C2 tag fails its format	EIN: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	PREPARER_EIN	C2 tag fails its format	EIN: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	SPONS_DFE_MAIL_FORGN_POSTAL_CD	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['560070', 'M5C 2W1']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	SPONS_DFE_LOC_FORGN_POSTAL_CD	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['560070']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	ADMIN_FOREIGN_PROV_STATE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	ADMIN_FOREIGN_CNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	ADMIN_NAME_SAME_SPON_IND	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
