id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
1,Excluded doctors and the hospices/nursing homes that keep them,Are doctors banned from Medicare still showing up on hospice paperwork?,Banned doctors shouldn't still be treating dying patients,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,"2,364,431",affiliation snapshot 2026-07,"Medium — partial run, needs finishing","Found 4 so far, confirmed",
2,Private equity-owned nursing home chains,"Which nursing home owners get fined the most per home, and does it repeat?",Shows which owners treat fines as a cost of doing business,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"449,372","deficiencies 2017-26, penalties 2023-06 on",Quick — re-run and check the number,one chain gets fined 5x more per home than a comparable one,
3,Banks and polluting factories,Do banks that lend money also own the polluting sites?,Would show banks quietly bankrolling pollution,nothing there,,LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"5,305,548",2017 HMDA,Skip — already ruled out,"it only found the banks' own buildings, not loans",
4,"Doctors treating addiction, and drug companies",Do addiction doctors get paid more by drugmakers when they prescribe more?,Would be a bribe-for-prescriptions pattern,missing a piece,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022,"39,177,643",one year,Skip — already ruled out,the two records don't line up,
5,"Homeowners after disasters, and their mortgage lenders",Do people get worse loan terms right after a hurricane or flood?,Would show lenders profiting off disaster victims,part done,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,"71,243,587",2015-2017,Quick — re-run and check the number,"47 disasters checked, more digging needed",
6,Dialysis clinic chains in rural areas,Do dialysis chains that dominate a rural area have worse patient outcomes?,Would show monopoly power hurting sick people,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_DIALYSIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"30,613,170",one vintage,"Medium — partial run, needs finishing","Partially checked, needs a full run",
7,Community health clinics for the poor,Are banned doctors working at clinics serving poor neighborhoods?,Would show bad actors targeting people with fewer options,missing a piece,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,"159,994",n/a,Skip — already ruled out,can't currently tell which doctor works where,
8,Counties with rising jail populations,"When a county's jail population spikes, does drug overdose rise later?",Would link mass incarceration to community health decline,part done,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY,"347,425",2010-2024,"Medium — partial run, needs finishing","Partially checked, real pattern not confirmed yet",
9,"Factories that pollute the most, and their workers",Do the biggest polluters also pay their workers the least?,Would show a double harm on the same community,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"3,887,442",cross-section,"Medium — partial run, needs finishing","Partially checked, weak so far",
10,Medical equipment suppliers,Are the suppliers who bill the most also getting kickback-like payments?,Would show equipment fraud loop,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,"381,228",DY2024,"Medium — partial run, needs finishing","Partially checked, some red flags in the data",
