id	status	score	key	key_is	kind	n_harm	n_money	harm_tables	money_tables	tags	look_for	charts	traps	found	finding_ids	by	date
R:EIN:harm-money	probed	17.0	EIN	nonprofit or company tax ID	harm meets money: EIN on 2 harm and 12 money tables	2	12	FED_OSHA_ITA_CASE_DETAIL_2023, FED_OSHA_ITA_300A_SUMMARY_2024	FED_IRS527_SCHEDULE_A_CONTRIBUTIONS, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_IRS_EO_BMF, HOSPITAL_OFFICER_PAY, FED_FAC_SINGLE_AUDIT, FED_FOREIGNASSISTANCE, FED_DOL_EBSA_FORM5500_SCHEDULE_SB, FED_DOL_FORM5500 +4	HARM MONEY ROLLUP CROSS PEOPLE	EIN values on any harm table that also draw money from the 12 money tables :: paired bars | dollars to flagged vs unflagged, by year :: line over time | the biggest earners among the flagged: name them :: ranked bar	line_over_time paired_bars ranked_bar	ein-and-cik-width-mismatch reach-is-not-a-usable-join	5,275 of 121,377 OSHA EINs file single audits, $501B latest-year federal spend; 72 with a death. They are governments (State of Michigan, Chicago, WMATA): public employers get federal money by definition. 1,344 hit hospital officer pay, unchecked		sweep-c	2026-09-24
R:CCN:harm-money	dead	16.5	CCN	Medicare facility	harm meets money: CCN on 6 harm and 5 money tables	6	5	FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES, FED_CMS_NURSING_HOME_PENALTIES, FED_NURSINGHOME411, FED_CMS_NURSING_HOME, FED_CMS_HOME_HEALTH	FED_CMS_OPEN_PAYMENTS, FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE, FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE, FED_CMS_HCRIS, FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER	HARM MONEY ROLLUP PEOPLE	CCN values on any harm table that also draw money from the 5 money tables :: paired bars | dollars to flagged vs unflagged, by year :: line over time | the biggest earners among the flagged: name them :: ranked bar	line_over_time paired_bars ranked_bar	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	zero CCN overlap: harm side is 14,700 nursing homes + 12,428 home health agencies, money side is 7,040 hospitals; different facility types, different CCN ranges		sweep-c	2026-09-24
R:NPI:harm-money	probed	16.0	NPI	doctor or clinic	harm meets money: NPI on 2 harm and 8 money tables	2	8	FQHC_SITE_PEOPLE, FED_HHS_OIG_LEIE	FED_CMS_PARTD_PRESCRIBERS, FED_CMS_OPEN_PAYMENTS, FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI, FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER, FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE, FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL, FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER, ADDICTION_PRESCRIBERS_PAID	HARM MONEY ROLLUP PEOPLE	NPI values on any harm table that also draw money from the 8 money tables :: paired bars | dollars to flagged vs unflagged, by year :: line over time | the biggest earners among the flagged: name them :: ranked bar	line_over_time paired_bars ranked_bar	bene-cc-pct-two-scales dme-referrer-columns-lie partd-is-dy2022 reach-is-not-a-usable-join	LEIE holds: of 6,591 NPIs excluded before 2024 only 1 drew 2024 Part B ($1.23M) and 2 drew 2022 Part D, all with OIG waivers. 193 excluded NPIs took 839 pharma payments, $166K, in 2024. SAMPROV 95 paid NPIs are name guesses, cities 0/24 agree		sweep-c	2026-09-24
R:UEI:harm-money	finding	14.5	UEI	federal contractor	harm meets money: UEI on 2 harm and 5 money tables	2	5	FED_SAM_EXCLUSIONS, SAM_EXCLUDED_PROVIDERS	FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_NIH_REPORTER, FED_SBIR_STTR_AWARDS, FED_USASPENDING_BULK	HARM MONEY ROLLUP CROSS PEOPLE	UEI values on any harm table that also draw money from the 5 money tables :: paired bars | dollars to flagged vs unflagged, by year :: line over time | the biggest earners among the flagged: name them :: ranked bar	line_over_time paired_bars ranked_bar	reach-is-not-a-usable-join	Amerihost Services (EPA debarred 2021-09 to 2026-09) drew 27 HUD Section 8 rental-aid actions, $1.54M, with new yearly FAINs during debarment; 38 firms got $1.49M in new contracts while excluded; 384 of 38,427 excluded UEIs ever paid // F-024 B: EPA-barred Amerihost Services drew $1.54M of HUD Section 8 in 27 payments during its 2021-26 government-wide ban	F-024	claude	2026-09-24
R:FRS_ID:harm-money	probed	12.5	FRS_ID	EPA facility	harm meets money: FRS_ID on 5 harm and 2 money tables	5	2	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS, FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES, FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES, FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS	FED_EPA_ECHO, EPA_PENALTY_GAP	HARM MONEY ROLLUP CROSS	FRS_ID values on any harm table that also draw money from the 2 money tables :: paired bars | dollars to flagged vs unflagged, by year :: line over time | the biggest earners among the flagged: name them :: ranked bar	line_over_time paired_bars ranked_bar	reach-is-not-a-usable-join	penalty share climbs with harm-table count, 14% on 1 table to 97% on all 5, but circular: ECHO penalties come from the same enforcement cases. 279 on all 5, median last penalty $25K		sweep-c	2026-09-24
R:CCN:worst	probed	9.0	CCN	Medicare facility	worst lists: the same CCN across its 6 harm tables	6	5	FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES, FED_CMS_NURSING_HOME_PENALTIES, FED_NURSINGHOME411, FED_CMS_NURSING_HOME, FED_CMS_HOME_HEALTH		HARM ROLLUP	count each CCN across 6 harm tables; who shows up in three or more :: ranked bar | which harm tables overlap most, and on whom :: overlap matrix | the top ten repeat names: walk each one across the tables :: timeline	overlap_matrix ranked_bar timeline	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	14,632 of 14,700 homes have deficiencies, 6,831 have penalties, 6,500 sit on 5 of 6 tables, so 3+ is nearly everyone. Top by citations: Mirage Post Acute CA 294, Pines MD 226 with $24K fines. Defs vs fines corr 0.44; CA survey intensity likely		sweep-c	2026-09-24
R:NPI:worst	probed	9.0	NPI	doctor or clinic	worst lists: the same NPI across its 2 harm tables	2	8	FQHC_SITE_PEOPLE, FED_HHS_OIG_LEIE		HARM ROLLUP PEOPLE	count each NPI across 2 harm tables; who shows up in three or more :: ranked bar | which harm tables overlap most, and on whom :: overlap matrix | the top ten repeat names: walk each one across the tables :: timeline	overlap_matrix ranked_bar timeline	reach-is-not-a-usable-join	no NPI on all 3; 123 on 2: 88 LEIE+FQHC (FQHC IS_EXCLUDED was built from LEIE), 26 LEIE+SAMPROV (same person, reciprocal listing), 9 SAMPROV+FQHC. FQHC is an address match, not a harm list		sweep-c	2026-09-24
R:UEI:worst	dead	9.0	UEI	federal contractor	worst lists: the same UEI across its 2 harm tables	2	5	FED_SAM_EXCLUSIONS, SAM_EXCLUDED_PROVIDERS		HARM ROLLUP CROSS PEOPLE	count each UEI across 2 harm tables; who shows up in three or more :: ranked bar | which harm tables overlap most, and on whom :: overlap matrix | the top ten repeat names: walk each one across the tables :: timeline	overlap_matrix ranked_bar timeline	reach-is-not-a-usable-join	SAM_EXCLUDED_PROVIDERS is a slice of FED_SAM_EXCLUSIONS: 16,144 of 16,144 SAM numbers and 4,790 of 4,790 UEIs sit in both, so overlap is by construction. Top repeat inside one table: FIGG Group, 9 exclusions		sweep-c	2026-09-24
R:FRS_ID:worst	probed	8.5	FRS_ID	EPA facility	worst lists: the same FRS_ID across its 5 harm tables	5	2	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS, FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES, FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES, FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS		HARM ROLLUP CROSS	count each FRS_ID across 5 harm tables; who shows up in three or more :: ranked bar | which harm tables overlap most, and on whom :: overlap matrix | the top ten repeat names: walk each one across the tables :: timeline	overlap_matrix ranked_bar timeline	reach-is-not-a-usable-join	279 facilities on all 5 harm tables, 270 with an ECHO penalty. Top: Westlake/Shell Deer Park TX 18 case conclusions + 133 NPDES informal actions, last penalty $7.6K; Gulf petrochem dominates; names agree 10/12		sweep-c	2026-09-24
R:NPDES_ID:worst	probed	8.5	NPDES_ID	water discharge permit	worst lists: the same NPDES_ID across its 5 harm tables	5	0	FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS, FED_EPA_NPDES_NPDES_PS_VIOLATIONS, FED_EPA_NPDES_NPDES_SE_VIOLATIONS, FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS, FED_EPA_NPDES_NPDES_CS_VIOLATIONS		HARM ROLLUP	count each NPDES_ID across 5 harm tables; who shows up in three or more :: ranked bar | which harm tables overlap most, and on whom :: overlap matrix | the top ten repeat names: walk each one across the tables :: timeline	overlap_matrix ranked_bar timeline		2,420 permits on all 5 NPDES tables, 7,098 on 4. Top single-event violators are city sewage plants: DeKalb GA 1,406, Atlanta RM Clayton 1,218 (consent-decree spill reporting). Louisiana holds 8 of top 12 on all 5		sweep-c	2026-09-24
