id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
1,Excluded doctors and the hospices/nursing homes that keep them,Are doctors banned from Medicare still showing up on hospice paperwork?,Banned doctors shouldn't still be treating dying patients,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,"2,364,431",affiliation snapshot 2026-07,"Medium — partial run, needs finishing","Found 4 so far, confirmed",
10,Medical equipment suppliers,Are the suppliers who bill the most also getting kickback-like payments?,Would show equipment fraud loop,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,"381,228",DY2024,"Medium — partial run, needs finishing","Partially checked, some red flags in the data",
100,Companies that win disaster relief contracts,Did they spring up right after the disaster was declared?,Would show opportunists forming shell companies to grab relief money,not started,,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"119,404,344",60-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
101,Counties hit hard by flooding,Are they still using outdated flood maps?,Would show regulators failing to update risk after real damage,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,"1,805,855",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
102,"Counties with lots of oil, gas, and fracking activity",Do they also have the worst drinking water problems?,Would show industrial activity stacking up to hurt water quality,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"22,752,998",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
103,Companies that report chemical or oil spills,Do they still win federal contracts afterward?,"Would show spillers getting rewarded, not penalized",not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,"94,350,772",same years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
104,Small aircraft owned by shell companies,Do the same addresses show up behind multiple fatal crashes?,Would show unsafe operators hiding behind shell companies,not started,,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,"377,918",by event,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
105,Railroad crossings,Do the same crossings get hit by trains again and again?,Would show known danger spots never getting fixed,not started,,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES,"1,401,937",2010+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
106,Counties that received huge amounts of prescription painkillers years ago,Are those same counties still struggling with opioids today?,Connects the historic pill flood to today's ongoing crisis,not started,,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"180,068,296",2006-14 vs 2024,Medium — first probe query needed,sits in the single biggest untouched dataset,
107,Drug distributors and the state lawsuits against them,Did the biggest distributors in a state match who actually got sued?,Would show whether settlements matched the actual harm done,not started,,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.LEGAL_ENFORCEMENT.LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,"178,598,908",2006-14 vs settlement year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
108,Surgeons paid royalties on medical devices,Were they still being paid after their device got recalled?,Would show money continuing after a product proved unsafe,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,600,368",around recall date,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
109,Medical devices approved through a faster review process,Do they have more reported deaths than devices reviewed the normal way?,Would question whether faster approval means less safe,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_MAUDE | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K,"2,919,247",2020+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
11,"Hospitals losing money, and their doctors",Do money-losing hospitals still have doctors taking big drug company payments?,Would look hypocritical — cutting care while doctors profit,part done,HCRIS one vintage,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,"16,967,082",2023,"Medium — partial run, needs finishing","Partially checked, real data found",
110,Generic drugs with a sudden price spike,Do the same doctors' prescribing costs jump right along with it?,Would show someone profiting off a price spike,not started,,LIBRARY_RAW.LANDING.FED_CMS_NADAC | LIBRARY_MARTS.HEALTH.HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG,"27,525,898",effective dates,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
111,Native American tribal health facilities,Did their nearest full-service hospital shut down?,Would show a already-underserved population losing more care,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_SCB_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"54,168",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
