story_id	bin	confidence	novelty	grade	pre_known	post_cutoff	earliest	news_match	deciding_types	what_we_add	headline
S001	Matched + more	high	3	A	press_checked_2026-09-24	False	2021-04-14	True	news,trade press	$20,575,810.66 across 62 monthly lobby reports filed by Andy Abboud, May 2021-Jun 2026; 70-71% of all Texas lobby media spending, 2.5x all other lobbyists combined ($8.26M); about 4x Sands' ~$5.1M federal lobby fees in the same months	"Las Vegas Sands reported $20.58M in Texas lobby ""media"" spending, 2021-26: 2.5 times all o"
S007	Matched + more	high	4	B	press_checked_2026-09-24	False	2026-05-27	False	company	31 of 282 active San Antonio hospice IDs (11.0%) in farms vs 0.53% outside California, Houston and San Antonio; Houston 4-7%, California 3.3%; Houston Suite 610's five IDs trace to two signers, in a building holding 14 hospice IDs since 2008	"11% of San Antonio hospice ID numbers sit in ""farms"": one signer, 4+ hospice names, one ad"
S024	Matched + more	medium	3	narrowed	lead_cites_press	False	2024-06-21	True	news,trade press	27 ex-clients at four Nigerian audit firms; 75 of 218 show no later audit; the 143 that moved split 54 one-partner / 72 two-to-five-partner / 17 bigger firms	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75
S032	Unreported	medium	4	narrowed	blind	False		False			San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medica
S044	Not comparable	low	2	unchecked	blind	False		False	research,trade press	the rise from 19% (2000-04) to 64% (2010 on); Medtronic defibrillator line P980016 with 928 changes, 621 of them 30-day notices	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, ro
S055	Matched + more	medium	1	unchecked	blind	False	2018-05-07	False	government,research	the lender-by-lender cut: about 2x at every 2017 home-purchase lender with 500+ Black and 2,000+ white applications	Black home buyers were denied about twice as often as white buyers at every big 2017 mortg
S075	Known pattern	medium	3	narrowed	blind	False		False	government		The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwau
S092	Matched + more	medium	1	unchecked	blind	False	2022-03-09	False	research	TRI plants per 100 km2 by grade (D 13.35, C 5.82, B 2.21, A 0.07; D six times B) and D denser than B in 119 of 212 cities	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, si
S103	Matched + more	medium	1	B	lead_cites_press	False	2012-04-05	False	company,research	Names Teva, Actavis and Mutual as the filers; about 15,500 lawyer-sourced reports = 91% of the generic's reports; 9,089 in Apr-Sep 2011 vs about 16 a quarter in 2004-2009; median drug 0.05% lawyer-coded	Generic makers Teva, Actavis and Mutual filed about 15,500 lawyer-sourced metoclopramide (
S105	Known pattern	medium	4	B	blind	False		False	government		Medicare's ordering list still clears 83% of recently deactivated clinicians to order equi
S106	Not comparable	low	2	B	blind	False		False	government,research,trade press		944 for-profit nursing homes with operating companies formed 2022 to Sept 2024 rate 0.28 s
S116	Matched + more	high	3	B	blind	True	2026-03-24	True	news	Raised $0 from donors; check dates 2025-10-27 and 2026-07-15; the $1M check is the biggest from any dormant campaign committee in 2025-26 (next: $215K)	Sean Duffy's old House fund raised $0 from donors but gave $1.5M to Northwoods Future PAC,
S124	Not comparable	medium	2	B	blind	False		False	news,research,trade press		16 of 38 Supreme Court cases from the 5th Circuit in 2021-24 were federal-government appea
S139	Matched + more	medium	2	B	blind	False	2026-06-10	True	news	Second of 86 Bay Area plants by notices; notices written on 133 days; peers' median 28 formal actions per 100 notices vs none for Tesla; Phillips 66 Rodeo (213 notices) also got none	Tesla's Fremont plant drew 356 Bay Area air violation notices since 2019, second of 86 pla
S140	Matched + more	medium	3	B	blind	False	2022-02-23	True	news	"438 names (426 current, 12 historical); 105 list the n-word as an older name; 641 ""Squaw"" renamings vs at least 41 ""Negro""/n-word ones in 2020-23"	"438 place names still say ""Negro""; in 2020-23, 641 ""Squaw"" names changed vs at least 41 ""N"
S168	Matched + more	high	3	B	blind	False	2025-07-25	True	news	339 of 1,473 units vacant without an approved reason (23.0%); highest of 91 similar-size non-Moving-to-Work authorities, 5.9x their 3.9% median; almost half at Stanley Holmes Village, 50% occupied	339 of Atlantic City's 1,473 public housing units sit empty without an approved reason: 23
S171	Known pattern	high	4	B	blind	False		False	news,research		In Ecuador's Los Ríos province, 29 of 66 town-hall public-works tenders drew one bidder; a
S192	Unreported	medium	none	C	blind	False		False			A third of small, non-exempt US-listed foreign companies missed a new March 2026 insider-s
S195	Known pattern	high	none	C	blind	False		False	news,research		189 old campaign funds paid out $8.57M in the 2024 cycle; 19% went to candidates, parties 
