id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
1,part done,Are doctors banned from Medicare still showing up on hospice paperwork?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,4,,HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [15],N,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NURSING_HOME_PROVIDER_NAME | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ZIP_CODE | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.ASSOCIATE_ID | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.CCN | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.NPI | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.ORGANIZATION_NAME | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.ZIP_CODE
2,found something,"Which nursing home owners get fined the most per home, and does it repeat?",LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,3,,,Y,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
3,nothing there,Do banks that lend money also own the polluting sites?,LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,2,,,Y,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.EPA_REGISTRY_ID | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_CIK | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_UEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.ULTIMATE_PARENT_LEI | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.ARID_2017 | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018
4,found something,Do addiction doctors get paid more by drugmakers when they prescribe more?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022,2,FED_CMS_PARTD_PRESCRIBER_DRUG,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS_2022.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS_2022.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS_2022.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.NPI | HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.PROVIDER_NAME | HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.ZIP
5,part done,Do people get worse loan terms right after a hurricane or flood?,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,2,,,Y,HOUSING__FED_CFPB_HMDA_HISTORIC.RESPONDENT_ID | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
6,part done,Do dialysis chains that dominate a rural area have worse patient outcomes?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_DIALYSIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,5,,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [34] ; HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [500450] ; HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [326347],N,HEALTH__FED_CMS_DIALYSIS.CCN | HEALTH__FED_CMS_DIALYSIS.FACILITY_NAME | HEALTH__FED_CMS_DIALYSIS.TELEPHONE_NUMBER | HEALTH__FED_CMS_DIALYSIS.ZIP_CODE | HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.CCN | HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI
7,found something,Are banned doctors working at clinics serving poor neighborhoods?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,3,,,Y,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.LAST_NAME | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.NPI | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.ZIP_CODE | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BPHC_ASSIGNED_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.FQHC_SITE_MEDICARE_BILLING_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.FQHC_SITE_NPI_NUMBER | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_NAME | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_POSTAL_CODE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE
8,part done,"When a county's jail population spikes, does drug overdose rise later?",LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY,3,,,Y,HEALTH__FED_CDC_DRUG_POISONING_COUNTY.FIPS | HEALTH__FED_HRSA_SHORTAGE_AREAS.BHCMIS_ORGANIZATION_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_POSTAL_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_STATE_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.DISCIPLINE_CLASS_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_COMPONENT_NAME | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_COMPONENT_SOURCE_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_GEOGRAPHY_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_ID | HEALTH__FED_HRSA_SHORTAGE_AREAS.PRIMARY_STATE_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.STATE_FIPS_CODE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS
9,part done,Do the biggest polluters also pay their workers the least?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,3,,,Y,ECONOMICS__FED_BLS_QCEW.AREA_FIPS | ECONOMICS__FED_BLS_QCEW.STATE_FIPS | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.COUNTY_FIPS | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.FACILITY_ID | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.FACILITY_NAME | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.FRS_ID | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.ZIP | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME
10,part done,Are the suppliers who bill the most also getting kickback-like payments?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,1,,,single,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER.RFRG_NPI | HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER.RFRG_PRVDR_LAST_NAME_ORG | HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER.RFRG_PRVDR_ZIP5
