id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,matches,notes,needs,watch_out,probe,rows,time_window,effort
v1-10,HEALTH,crawl,Medical equipment suppliers,Are the suppliers who bill the most also getting kickback-like payments?,Would show equipment fraud loop,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,,,part done,v2-Equipment suppliers: charged versus paid,,,"Partially checked, some red flags in the data",,"381,228",DY2024,"Medium — partial run, needs finishing"
v1-14,HEALTH,crawl,Rural health clinics,Are clinics claiming to be 'rural' actually sitting in cities?,Would show fraud on a rural subsidy program,HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,,,nothing there,,,,"Dead end as asked, simpler version might work",,"5,530",snapshot,Skip — already ruled out
v1-20,HEALTH,crawl,Nursing homes and dialysis clinics,"Are the same people running both, and is that a conflict?",Would show a hidden ownership overlap,HEALTH__FED_CMS_FACILITY_AFFILIATION,,,found a little,,,,"Small group found, no clear story yet",,"2,260,193",snapshot,"Medium — partial run, needs finishing"
v1-24,HEALTH,crawl,Doctors in a brand-new Medicare payment program,"Nothing to compare yet, program just started",Sets a baseline to check for fraud once the program is running,HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,,,not started,,,,nothing to find yet,,"6,637",2027 start,"Medium — partial run, needs finishing"
v1-E68,HEALTH,crawl,Wealthy nonprofit hospitals,Do they give very little free care to the poor despite huge profits?,Would expose 'nonprofit' hospitals not acting like one,HEALTH__FED_CMS_HCRIS,,,found something,v2-Hospital profit margin against charity care,,,"37 hospitals over $50 million profit, under 1% charity care",reports/tier1_deep_dive_2026-09-05/E68_nonprofit_charity_care,"6,103",FY2023,Quick — re-run and check the number
v2-001,HEALTH,crawl,"Pills shipped per county, the DEA ledger","Which counties received the most opioid doses per resident, and in which years?",The reader sees their own county on a map of the flood.,HEALTH__FED_DEA_ARCOS,single table,map,not started,v1-106,178M rows. Buyer address gives county. Morphine-equivalent column already there.,,,,,,
v2-002,HEALTH,crawl,"Overdose deaths month by month, state by state",Which states' overdose deaths kept climbing after the national peak?,The national curve hides states still getting worse.,HEALTH__FED_CDC_OVERDOSE,single table,timeline,not started,,Has a reporting-completeness column. Show it as a shaded band.,,,,,,
v2-003,HEALTH,crawl,"Overdose death rate by county, year by year",Where did the overdose wave start and where did it spread?,An animated map turns a statistic into a movement.,HEALTH__FED_CDC_DRUG_POISONING_COUNTY,single table,map,not started,,"Rates are given as ranges, not points. Plot the midpoint and say so.",,,,,,
v2-004,HEALTH,crawl,Meals priced just under $125,Which drug companies' meal payments bunch right under the reporting line?,Pattern that looks like someone gaming a rule.,HEALTH__PHARMA_MEAL_CAP_FINGERPRINT,single table,other,not started,,Already-built table. A histogram with a spike at $124 is the whole chart.,,,,,,
v2-005,HEALTH,crawl,Who pays doctors the most,"Which companies paid the most money to doctors, and for what?",The names are household brands.,HEALTH__FED_CMS_OPEN_PAYMENTS,single table,ranking,not started,,15M rows. Also a by-manufacturer rollup in PUBLIC.,,,,,,
v2-006,HEALTH,crawl,Nursing home star ratings by owner type,Do for-profit and chain-owned homes score worse than nonprofit ones?,Families pick homes by stars and never see who owns them.,HEALTH__FED_CMS_NURSING_HOME,single table,other,not started,,Ownership and chain columns in the same row as stars and fines.,,,,,,
v2-007,HEALTH,crawl,Private equity in home health,"What share of home health agencies have a private-equity or REIT owner, by state?",A quiet takeover of care for the elderly.,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,single table,map,not started,,"Entity-type column names PE, LLC, nonprofit, REIT outright.",,,,,,
v2-008,HEALTH,crawl,Nonprofit hospital executive pay,"Which nonprofit hospital officers earn the most, and how does pay compare to hospital revenue?",Charity status next to seven-figure salaries.,HEALTH__HOSPITAL_OFFICER_PAY,single table,ranking,not started,v1-124,Built from 990 filings. Hours-worked column lets you compute pay per hour.,,,,,,
v2-009,HEALTH,crawl,Hospital profit margin against charity care,Do the most profitable hospitals give the least charity care?,The scatter answers a question people argue about.,HEALTH__FED_CMS_HCRIS,single table,other,not started,v1-E68|v1-E48,"One row per hospital per fiscal year, so it can animate.",,,,,,
