model,schema,table,column,finding_class,masked_pct,n_rows,verified_live_2026-08-18,evidence
economics__fed_foreignassistance,ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,EIN,SENTINEL_MASKED_ID,100.0,95658,yes,"COUNT(*)=95658 COUNT(EIN)=95658 COUNT(DISTINCT EIN)=1; every row's EIN is the empty string '' -- same shape as NPPES EIN / FCC ULS EIN. Column name promises a tax ID; delivers nothing. Do not join on this column."
housing__fed_hud_data,HOUSING,HOUSING__FED_HUD_DATA,EIN,SENTINEL_MASKED_ID,100.0,77,yes,"COUNT(*)=77 COUNT(EIN)=77 COUNT(DISTINCT EIN)=1; every EIN is ''. Same pattern as foreign-assistance, smaller table."
justice__fed_ftc_datasets,JUSTICE,JUSTICE__FED_FTC_DATASETS,EIN,SENTINEL_MASKED_ID,100.0,1200,yes,"COUNT(*)=1200 COUNT(EIN)=1200 COUNT(DISTINCT EIN)=1; every EIN is ''. Same pattern, 1,200 rows."
health__fed_cms_nppes,HEALTH,HEALTH__FED_CMS_NPPES,PROVIDER_LICENSE_NUMBER_6,SENTINEL_MASKED_ID,99.78,9606683,yes,"COUNT(*)=9606683 COUNT(DISTINCT)=20570; top value '' x9,585,443 (99.78%). Column is real for the surviving ~21k rows (looks like genuine license numbers) but is empty for nearly the whole table -- named CLAUDE.md example."
consumer_safety__fed_nhtsa_complaints,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,VIN,SENTINEL_MASKED_ID,15.02,2227941,yes,"fill_tables.csv counts 334,604 exact-sentinel rows (15.0%) but live sample shows the true junk rate is higher: '' x332,985 plus free-text placeholders 'PLEASE FILL' x3,395, 'NOT AVAILAB' x1,934, 'PLEASE PROV' x1,756, 'FILL IN' x1,204, 'N/A' x1,052, 'ADD' x983, '9999' x534 -- none of the free-text ones match the scan's narrow sentinel-string list, so the real masked share is undercounted. Also: every placeholder value truncates at ~11 chars ('NOT AVAILAB' is missing the trailing 'LE') -- the column looks schema-truncated well short of a real 17-char VIN, a second, separate defect worth a look."
reference__fed_usgs_topoview,REFERENCE,REFERENCE__FED_USGS_TOPOVIEW,FIPS,SENTINEL_MASKED_ID,100.0,250,yes,"COUNT(*)=250 COUNT(DISTINCT FIPS)=1; every FIPS is ''. Looks like a county/place FIPS code, is never populated."
transport__fed_dot_bts,TRANSPORT,TRANSPORT__FED_DOT_BTS,CARRIER_CODE,SENTINEL_MASKED_ID,100.0,21,yes,"COUNT(*)=21 COUNT(DISTINCT CARRIER_CODE)=1; every value ''. Small table, same shape."
open_data__intl_gh_datagovgh,OPEN_DATA,OPEN_DATA__INTL_GH_DATAGOVGH,LICENSE,SENTINEL_MASKED_ID,100.0,10,yes,"COUNT(*)=10 COUNT(DISTINCT LICENSE)=1; every value ''. Tiny table."
transport__fed_faa_data_portal,TRANSPORT,TRANSPORT__FED_FAA_DATA_PORTAL,FIPS,SENTINEL_MASKED_ID,100.0,4,yes,"COUNT(*)=4 COUNT(DISTINCT FIPS)=1; every value ''. Trivial table (4 rows)."
civil_rights__fed_nara_wra_aad,CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,FAMILY_NUMBER,SENTINEL_MASKED_ID,100.0,1,yes,"COUNT(*)=1 COUNT(DISTINCT FAMILY_NUMBER)=1; the value is ''. Single-row table, low stakes but confirmed live."
