model,column,clock,grain,is_primary,confidence,why,overturned_from,overturn_why,evidence_file
health__fed_cdc_anxiety_depression,time_period,not_a_date,unknown,False,medium,"Household Pulse survey wave ordinal, passed through uncast.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_anxiety_depression.sql
health__fed_cdc_anxiety_depression,time_period_label,not_a_date,unknown,False,medium,Text label of the survey window; parsed bounds live in the two date columns.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_anxiety_depression.sql
health__fed_cdc_anxiety_depression,time_period_start_date,span_start,day,True,high,try_to_timestamp of the survey collection window start; census 2020-04-23 to 2024-09-16 is sane.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_anxiety_depression.sql
health__fed_cdc_anxiety_depression,time_period_end_date,span_end,day,False,high,"try_to_timestamp of the window end, pairs with the start column.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_anxiety_depression.sql
health__fed_cdc_data_portal,created_at,happened,day,True,high,"Row is a dataset; created_at is when it came into existence on data.cdc.gov, parsed with an explicit ISO format.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_data_portal.sql
health__fed_cdc_data_portal,updated_at,reported,day,False,medium,"Publisher-side last-touch stamp - a vintage, not an event.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_data_portal.sql
health__fed_cdc_data_portal,data_updated_at,reported,day,False,medium,When CDC last refreshed the dataset's data - publisher bookkeeping.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_data_portal.sql
health__fed_cdc_data_portal,metadata_updated_at,reported,day,False,medium,When CDC last touched the metadata - publisher bookkeeping.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_data_portal.sql
health__fed_cdc_data_portal,publication_date,reported,day,False,high,try_to_date - when CDC published the dataset.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_data_portal.sql
health__fed_cdc_drug_poisoning_county,year,happened,year,True,high,try_to_number(YEAR) - year the county's drug-poisoning deaths occurred; a bare date-parse would epoch-collapse it.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_drug_poisoning_county.sql
health__fed_cdc_drug_poisoning_county,estimated_age_adjusted_death_rate_11_categories_in_ranges,not_a_date,unknown,False,high,try_to_double of a banded death rate - a measurement.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_drug_poisoning_county.sql
health__fed_cdc_health_insurance,time_period,not_a_date,unknown,False,medium,"Household Pulse survey wave ordinal, uncast.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_health_insurance.sql
health__fed_cdc_health_insurance,time_period_label,not_a_date,unknown,False,medium,Text label of the survey window.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_health_insurance.sql
health__fed_cdc_health_insurance,time_period_start_date,span_start,day,True,high,try_to_timestamp of the survey window start; census 2020-2024 is sane.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_health_insurance.sql
health__fed_cdc_health_insurance,time_period_end_date,span_end,day,False,high,try_to_timestamp of the survey window end.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_health_insurance.sql
health__fed_cdc_injury_violence_county,period,happened,year,True,low,"Uncast text window label on a trailing-multi-year county file; the only real time reference here, value shape unverified.","clock=span_start, grain=year, is_primary=true, confidence=low","The repo documents this column exactly: the staging schema.yml describes PERIOD as 'Reporting period: a calendar year (2019-2024) or TTM (trailing twelve months)' and pins it with accepted_values ['2019','2020','2021','2022','2023','2024','TTM']. So it is a calendar-year label for the year the deaths occurred, not a point that bounds a period against a paired end column — span_start is the wrong bucket, and it is inconsistent with the same classifier calling the identical CDC construct (drug_poisoning_county.year) 'happened'. It IS the right primary; the clock label is what is wrong. Caveat for synthesis: the 'TTM' rows carry no year at all, so the column is mixed and roughly 1-in-7 of its distinct values is not a year.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_injury_violence_county.sql
health__fed_cdc_injury_violence_county,data_as_of,reported,day,False,medium,Uncast text snapshot vintage from CDC.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_injury_violence_county.sql
health__fed_cdc_injury_violence_county,ttm_date_range,not_a_date,unknown,False,low,Named a trailing-twelve-month RANGE but cast with a bare try_to_date - a range string nulls out.,"clock=span_end, grain=unknown, is_primary=false, confidence=low","The repo documents it as a label, not a date: staging schema.yml says ttm_date_range is a 'Human-readable trailing-twelve-month coverage window (populated only for the TTM-style rows; blank elsewhere -> NULL)', and the staging model deliberately keeps it as TEXT via nullif(trim(TTM_DATE_RANGE),''). The mart instead applies a bare try_to_date to that human-readable window string, and the result is empty: the 2026-08-11 per-column scan reports TTM_DATE_RANGE min=None/max=None, and the current census records no dates at all for the table (its only DATE-typed column). A single column holding a written-out range is a label, not a span_end.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_injury_violence_county.sql
health__fed_cdc_leading_causes_state,year,happened,year,True,high,"try_to_number(trim(YEAR)) in staging; year of death, 1999-2017.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_cdc_leading_causes_state/stg_fed_cdc_leading_causes_state__all.sql
health__fed_cdc_leading_causes_state,age_adjusted_death_rate,not_a_date,unknown,False,high,try_to_double of a death rate.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_cdc_leading_causes_state/stg_fed_cdc_leading_causes_state__all.sql
health__fed_cdc_nndss_weekly_2024,current_mmwr_year,reported,year,True,medium,MMWR reporting year (uncast text); the only standalone time coordinate.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_nndss_weekly_2024.sql
health__fed_cdc_nndss_weekly_2024,mmwr_week,reported,unknown,False,medium,"Week ordinal 1-53; only locatable when paired with the year, and week is not an offered grain.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_nndss_weekly_2024.sql
health__fed_cdc_nndss_weekly_2024,current_week,not_a_date,unknown,False,high,"NNDSS 'current week' is the CASE COUNT reported that week, not a date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_nndss_weekly_2024.sql
health__fed_cdc_nndss_weekly_2024,current_week_flag,not_a_date,unknown,False,high,Footnote flag on the current-week count.,,,
health__fed_cdc_nndss_weekly_2024,previous_52_week_max,not_a_date,unknown,False,high,Max weekly case count over the prior 52 weeks - a count.,,,
health__fed_cdc_nndss_weekly_2024,previous_52_weeks_max_flag,not_a_date,unknown,False,high,Footnote flag on that count.,,,
health__fed_cdc_nndss_weekly_2024,cumulative_ytd_current_mmwr_year,not_a_date,unknown,False,high,Year-to-date case count.,,,
health__fed_cdc_nndss_weekly_2024,cumulative_ytd_current_mmwr_year_flag,not_a_date,unknown,False,high,Footnote flag on the YTD count.,,,
health__fed_cdc_nndss_weekly_2024,cumulative_ytd_previous_mmwr_year,not_a_date,unknown,False,high,Prior-year YTD case count.,,,
health__fed_cdc_nndss_weekly_2024,cumulative_ytd_previous_mmwr_year_flag,not_a_date,unknown,False,high,Footnote flag on the prior-year YTD count.,,,
health__fed_cdc_overdose,year,happened,year,True,high,try_to_number(YEAR) - year of the provisional overdose-death window; only standalone coordinate.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_overdose.sql
health__fed_cdc_overdose,month,happened,month,False,medium,Uncast text month; refines year but cannot place a row alone.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_overdose.sql
health__fed_cdc_overdose,period,not_a_date,unknown,False,low,Uncast text; in VSRR this holds the aggregation-window label (e.g. '12 month-ending') - needs a value check.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_overdose.sql
health__fed_cdc_suicide_rates,year,happened,year,True,medium,try_to_number(YEAR) - year the rate describes; nulls on any range-valued rows.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cdc_suicide_rates.sql
health__fed_cdc_suicide_rates,year_num,not_a_date,unknown,False,medium,NCHS stub-style ordinal index for the year row - a sort code.,,,
health__fed_cdc_suicide_rates,age,not_a_date,unknown,False,high,Age-group label - an age.,,,
