id_name,domain,dataset_name,url,access_shape,auth,size_class,confidence,evidence,fragmented,fragmented_exemplars,federal_aggregator,row_count_note,update_cadence_note,license_note,trap_note,critic_verdict,critic_note
UDI / Device Identifier (DI) — GUDID,Healthcare & Clinical,AccessGUDID -- FDA Global Unique Device Identification Database,https://accessgudid.nlm.nih.gov/download,bulk-file,none,large,confirmed,"""the full release spans 5182695 device identifier records across 516 MB"" -- page also offers ""ZIP archives"" and pipe-delimited .TXT files, daily/weekly/monthly/full releases, plus an API",False,,,"Full release: 5,182,695 device identifier records (516 MB); latest monthly release ~56,705 records","Daily, weekly, and monthly update files plus periodic full releases",data.gov catalog entry for this dataset lists Open Data Commons Open Database License (ODC-ODbL),,upheld,"Confirmed live on the download page itself: daily (1174 records/187KB), weekly (13936 records/1.59MB), monthly (56705 records/7.27MB), and full release (5182695 records/516MB) offered as ZIP archives and pipe-delimited .TXT files -- numbers match the first pass's quote exactly. No login, account, or API key visible anywhere on the download page; the API is only a separate nav link, not required for bulk download."
FDA Establishment Identifier (FEI),Healthcare & Clinical,FDA FEI Portal (establishment identifier lookup) -- underlying FEI numbers also live inside separate FDA drug/device/food establishment registration & listing systems,https://feiportal.fda.gov,scrape-only,none,unknown,inferred,"search-engine summary of the FDA FEI Portal: ""At no cost to trade, the FDA FEI Portal allows the import community look-up and verify an entity's FEI"" -- direct WebFetch of feiportal.fda.gov and of accessdata.fda.gov/scripts/cder/rl/rl-2.cfm both 404'd this session",False,,,,,,"FEI portal is a name/address lookup tool, not a single bulk dataset; FEI also appears embedded inside separate drug-establishment, device-establishment, and food-facility registration databases that were not individually confirmed this session",,
NPDB Report Number (National Practitioner Data Bank),Healthcare & Clinical,NPDB Public Use Data File,https://www.npdb.hrsa.gov/resources/publicDataStatement.jsp,bulk-file,none,medium,confirmed,"""Download the Public Use Data File"" after agreeing to a Data Use Agreement (DUA); ""provides de-identified information to researchers, journalists and others to use to report on trends""",False,,,,"Updated 4 times a year, generally available within 2 months of listed dates",Data Use Agreement (DUA) click-through required; data cannot be reposted or combined with other data to re-identify a provider,File is de-identified -- does not identify individual practitioners or reporting entities; not confirmed this session whether the internal NPDB report number itself survives de-identification in the PUF,upheld,"Confirmed on publicDataStatement.jsp and the linked publicData.jsp request form: no login/account/password anywhere -- just a contact form (name/city/state/email), file-format picker, and a checkbox agreeing to the Data Use Agreement. That's a click-through legal gate, not authentication (no persistent credentials, no fee mentioned). Could not confirm whether the file downloads instantly or is emailed after submission, but that's a delivery detail, not an auth type, so 'auth: none' still holds."
NCPDP Provider ID (pharmacy identifier),Healthcare & Clinical,NCPDP dataQ (pharmacy master database),https://dataq.ncpdp.org/,api-key,paid,medium,confirmed,"""Choose between weekly or monthly delivery of your dataQ® files""; NCPDP FAQ (via search) states ""the organization offers an online database... you must have a subscription to search... more than 70,000 pharmacies""",False,,,"NCPDP FAQ cites ""more than 70,000 pharmacies"" in the database",,,Not free -- requires a paid NCPDP subscription/login to query or license in bulk; no public bulk file found,,
HIOS ID / Standard Component ID (health plan/issuer identifier),Healthcare & Clinical,CMS Health Insurance Exchange / Marketplace Public Use Files -- Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,bulk-file,none,medium,inferred,"search-engine text of the CMS page: ""The Plan Attributes PUF is one of several files available as part of the Exchange PUFs"" and ""the CMS PUF data website has a Plan Attributes file which reports details for specific PlanIDs using the 14 character HIOS id"" -- direct WebFetch of cms.gov, data.nber.org mirror, and catalog.data.gov entry all returned 403/404 this session",False,,,,,,"Live page load blocked (403) every attempt this session; content above is search-cache text only, not a direct page load",,
FDA HCT/P (blood/tissue) Establishment Registration,Healthcare & Clinical,FDA Human Cell and Tissue Establishment Registration (HCTERS) Public Query,https://www.fda.gov/vaccines-blood-biologics/biologics-establishment-registration/human-cell-and-tissue-establishment-registration-hcters-public-query-application,scrape-only,none,unknown,inferred,"search-engine text: ""The Human Cell and Tissue Establishment Registration (HCTERS) Public Query application allows you to review Human Cell and Tissue registration information for registered, inactive, and pre-registered firms"" -- direct WebFetch of the FDA page 404'd this session",False,,,,,,,,
340B ID (HRSA Office of Pharmacy Affairs Information System / OPAIS covered-entity ID),Healthcare & Clinical,HRSA 340B OPAIS Covered Entity Search,https://340bopais.hrsa.gov/SearchCe,scrape-only,none,medium,confirmed,"page loaded shows ""Data grid with 0 rows and 12 columns"" containing fields including ""340B ID,"" ""Entity Type,"" ""Name"" -- with ""Export Selected"" and ""Export All"" buttons",False,,,,,,"No static bulk-file URL found -- export is generated per search query through the web UI, not a standing downloadable file",upheld,"Confirmed: SearchCe loads with the 12-column grid (340B ID, Entity Type, Name, Sub Name, Address, City, State, Dates, Start/Term Date, Edited Date) empty until a search is run, with 'Export Selected' / 'Export All' buttons visible with no login needed to search or export. A separate 'Login' button links to 340bregistration.hrsa.gov, which is for covered entities managing their own registration -- not required for the public search/export. Scrape-only (query-driven grid, no standing bulk file) is the right shape, not bulk-file."
CHPL Product/Developer ID (ONC Certified Health IT Product List),Healthcare & Clinical,ONC Certified Health IT Product List (CHPL) Open API,https://chpl.healthit.gov/#/resources/chpl_api,api-open,none,medium,inferred,"data.virginia.gov dataset mirror (loaded via WebFetch): CHPL is ""a comprehensive and authoritative listing of all certified Health Information Technology"" and the API resource is ""a fully queryable REST API with JSON and XML output""",False,,,,,,,downgraded,"Could not confirm against the cited URL. chpl.healthit.gov/#/resources/chpl_api is an Angular single-page app using a '#/' fragment route -- fragments are never sent to the server, so any non-JS fetch of that URL (I tried it twice, plus the bare domain) only ever returns the same generic index shell ('Certified Health IT Product List (CHPL)' + 'Skip to main content'), never the actual API-resource content. A guessed REST endpoint (chpl.healthit.gov/rest/certified_products) returned HTTP 400. More telling: the first pass's own quoted evidence was pulled from a data.virginia.gov mirror page, not the claimed chpl.healthit.gov URL at all -- meaning the 'confirmed' tag was never actually checked against the cited source. Downgrading confidence to inferred: CHPL is generally known to run a public API, but shape/auth details are unverified against the real source this session."
Open Payments Covered Recipient Profile ID,Healthcare & Clinical,CMS Open Payments -- Covered Recipient Profile Supplement File,https://openpaymentsdata.cms.gov/datasets,bulk-file,none,large,inferred,"search-engine text of CMS documentation: ""The Covered Recipient Profile Supplement File contains all of the identifying information for physicians and NPPs..."" and includes ""a unique identification number (Physician Profile ID) that can be used to search for a specific physician"" -- five direct WebFetch attempts on openpaymentsdata.cms.gov and cms.gov pages this session returned only the bare page title (JS-rendered app) or 403/404",False,,,,,,,,
SAMHSA Facility ID (Behavioral Health Treatment Locator / N-SSATS),Healthcare & Clinical,SAMHSA Behavioral Health Treatment Services Locator / Mental Health Treatment Facilities Locator,https://findtreatment.samhsa.gov,scrape-only,none,medium,inferred,"catalog.data.gov entry (loaded via WebFetch): ""All information in the Locator is updated annually based on facility responses to SAMHSA's National Mental Health Services Survey (N-MHSS). New facilities are added monthly. Updates to facility names, addresses, telephone numbers and services are made weekly.""",False,,,,Annual survey refresh; new facilities added monthly; contact-detail edits weekly,,"The data.gov catalog entry itself notes the most recent complete annual survey data on file is from 2010 despite a 2023 catalog ""last updated"" stamp -- staleness trap on the underlying survey vs. the catalog metadata date",downgraded,"The claimed URL (findtreatment.samhsa.gov) 302-redirects to a different host, findtreatment.gov -- the cited URL is stale. The redirected site is JS-rendered; two fetches (root and /locator) both returned only the page shell ('FindTreatment.gov' + 'Skip to Content'), no search form, filters, or data confirmed. The first pass's quoted evidence also wasn't from this URL -- it's descriptive text from a catalog.data.gov listing about survey update cadence, not this site's access mechanics. Net: could not independently verify scrape-only/no-auth against the live page this session; downgrading confidence to inferred and flagging the URL as stale."
IHS Facility Location Code (Indian Health Service),Healthcare & Clinical,IHS Standard Code Book (SCB) -- Facility Table,https://www.ihs.gov/scb/standard-code-book-tables/facility/,bulk-file,none,medium,confirmed,"""8733 matches"" with fields ""ASUFAC Code, Area, Service Unit, Facility name, Facility Type, Location Type, Bed Count, Status, APC Flag, and ITU Code""; page lets you ""save a copy of the table to your computer or device"" in ""Excel"" or ""Delimited Text""",False,,,"8,733 matches in the on-page table",,,"8,733 matches almost certainly includes historical/inactive facility-code entries and code combinations, not a count of currently operating IHS facilities -- do not treat as a facility census without dedup/status filtering",upheld,"Confirmed live: page reports 'There are 8733 matches' with the exact fields quoted (ASUFAC Code, Area, Service Unit, Facility name, Facility Type, Location Type, Bed Count, Status, APC Flag, ITU Code) and a 'Download This Table' option offering Excel and Delimited Text formats. No login required anywhere on the page."
PECOS Enrollment ID / Associate Control ID,Healthcare & Clinical,CMS Medicare Fee-For-Service Public Provider Enrollment (PECOS extract),https://data.cms.gov/provider-characteristics/medicare-provider-supplier-enrollment/medicare-fee-for-service-public-provider-enrollment,bulk-file,none,large,inferred,"search-engine text of CMS provider enrollment documentation: ""PECOS is the CMS system of record for all Medicare provider and supplier enrollment data""; ""PAC ID is a unique 10-digit numeric identifier that is assigned to each individual or organizational provider""; ""enrollment ID is a unique 15-digit alphanumeric identifier"" -- direct WebFetch of data.cms.gov returned only the bare page title (JS-rendered app) on three attempts this session",False,,,,,,,,
FSMB Physician Data Center Profile (DocInfo.org),Healthcare & Clinical,FSMB DocInfo.org (Physician Data Center),https://www.docinfo.org/,scrape-only,none,unknown,inferred,"search-engine text: ""The Docinfo physician search tool (www.docinfo.org) draws data from the FSMB's Physician Data Center, the nation's most comprehensive database of physician licensure and disciplinary information"" -- two direct WebFetch attempts on docinfo.org and fsmb.org were both blocked by a bot-detection interstitial (""Pardon Our Interruption"") this session",False,,,,,,"Site actively blocks automated fetch (bot-detection interstitial); free per-physician lookup only, no bulk file identified",,
Nursys ID (NCSBN nurse licensure database),Healthcare & Clinical,Nursys -- NCSBN national nurse licensure database,https://www.nursys.com/,scrape-only,none,large,inferred,"""Nursys is the only national database for licensure, discipline/final orders and practice privileges for RNs and LPN/VNs"" licensed in participating jurisdictions; separately, NCSBN reports its e-Notify program ""Enrolls more than 1 Million Individual Nurses""",False,,,,,,"No public bulk download found on the loaded page; free per-nurse QuickConfirm lookup and free e-Notify monitoring, not a downloadable dataset",downgraded,"The page is real and rendered actual content (not a JS shell) -- no bulk file, open API, or login was found, so the bare access-shape/auth label isn't directly contradicted. But two problems: (1) the first pass's quoted evidence ('e-Notify enrolls more than 1 million individual nurses') is about a separate opt-in monitoring program and doesn't actually demonstrate the site is scrapeable -- it's tangential marketing copy, not access-mechanics evidence. (2) QuickConfirm is strictly a one-record-at-a-time verification lookup (you must already know the nurse's name/license/state) -- there is no browsable list or enumeration of 'Nursys ID' values, so calling this 'scrape-only' overstates its usefulness as a catalogable ID source; you can't crawl it into a directory the way a real listing page could. Downgrading confidence to inferred given the mismatched/weak evidence."
UPIN (Unique Physician Identification Number) — legacy pre-NPI identifier,Healthcare & Clinical,CMS/NBER NPI-to-UPIN Crosswalk,https://www.nber.org/research/data/national-provider-identifier-npi-unique-physician-identification-number-upin-crosswalk,bulk-file,none,medium,inferred,"page title from search index: ""National Provider Identifier (NPI) to Unique Physician Identification Number (UPIN) Crosswalk""; NBER description states ""CMS built an NPI to UPIN crosswalk, and providers were encouraged to list their old UPIN when they applied for an NPI"" -- direct WebFetch of the NBER mirror returned 403 this session",False,,,,,,"Per search summary, ""CMS stopped delivering the medicare other provider identifiers in January 2018. The files are based on the December 2017 delivery"" -- frozen/discontinued snapshot, not a live-updating source; coverage is limited to providers who voluntarily listed their old UPIN on their NPI application",,
State Medical/Nursing/Pharmacy Board License Number,Healthcare & Clinical,"State licensing-board license-number records for medicine, nursing, and pharmacy -- no single source, fragmented across 50+ independent state boards",https://www.mbc.ca.gov/,scrape-only,none,unknown,inferred,"structural inference, not a single page load: each U.S. state independently licenses physicians, nurses, and pharmacists through its own board with its own license-number scheme and lookup tool; the private national aggregators for two of the three professions (FSMB/DocInfo for physicians, NCSBN/Nursys for nurses) are separately catalogued as their own candidates above, and neither is a federal government source",True,"California Medical Board License Verification (mbc.ca.gov); Texas Board of Nursing License Verification; NABP e-Profile Connect (pharmacy licensure, nabp.pharmacy)",partial,,,,,,
FDA Disqualified / Restricted / Debarred Clinical Investigators List,Healthcare & Clinical,FDA Clinical Investigator Disqualification Proceedings list,https://www.accessdata.fda.gov/scripts/cder/investigator/,scrape-only,none,small,inferred,"OpenSanctions dataset page (loaded via WebFetch) describing the FDA source: ""Clinical investigators who have been subject to disqualification proceedings regarding FDA-regulated clinical investigations""; ""Source data: www.accessdata.fda.gov""; ""the collection contains 464 total entities with 232 searchable records"" -- the FDA page itself 404'd on two direct WebFetch attempts this session",False,,,OpenSanctions mirror: 464 total entities / 232 searchable US records as of its last sync,,,,,
HRSA Health Center Program / UDS Site ID (FQHC),Healthcare & Clinical,HRSA Health Center Program Uniform Data System (UDS) Awardee/Look-Alike data and Service Delivery Site data,https://data.hrsa.gov/data/download,bulk-file,none,medium,confirmed,"""Health Center Program Uniform Data System (UDS) Awardees and Look-Alikes -- 41 files available covering years 1999-2025... Format: XLSX"" and ""Health Center Service Delivery and Look-Alike Sites -- 3 files available... Formats: XLSX, CSV... Updated August 5, 2026; Daily refresh cycle""",False,,,,"UDS Awardee/Look-Alike file: annual refresh (last updated June 1, 2026); Service Delivery Sites file: daily refresh",,,upheld,"Confirmed live on data.hrsa.gov/data/download: UDS Awardees/Look-Alikes shows 41 XLSX files spanning 1999-2025 (annual refresh, last updated 6/1/2026); Service Delivery Site data shows 3 files in XLSX and CSV (daily refresh, last updated 8/5/2026 -- today's date). No login required; publicly listed downloads."
HRSA HPSA/MUA Designation ID (Health Professional Shortage Area / Medically Underserved Area),Healthcare & Clinical,HRSA Health Professional Shortage Area (HPSA) and Medically Underserved Area/Population (MUA/P) designation data,https://data.hrsa.gov/data/download,bulk-file,none,medium,confirmed,"""HPSA – Primary Care -- Multiple file formats: XLSX, CSV, SHP (shapefile)... Updated August 5, 2026; Daily refresh"" and ""Medically Underserved Areas/Populations (MUA/P) -- XLSX, CSV, and SHP formats available... 'MUA/P Designation Boundaries' and component boundaries included, Daily updates""",False,,,,Daily refresh,,,upheld,"Confirmed live on the same data.hrsa.gov/data/download page: HPSA - Primary Care and MUA/P both offer XLSX, CSV, and SHP (shapefile) downloads, both marked 'Updated: 8/5/2026, Refresh Cycle: Daily.' The page explicitly distinguishes these public download links from an internal 'MyData' site that requires HRSA-staff login -- the public downloads themselves need no login."
VAERS ID (Vaccine Adverse Event Reporting System report number),Healthcare & Clinical,VAERS (Vaccine Adverse Event Reporting System) Data Sets,https://vaers.hhs.gov/data/datasets.html,bulk-file,none,large,confirmed,"""Open the CSV files using a spreadsheet application such as Excel or a text editor""; ""Last updated: July 3, 2026"" with ""Data contains VAERS reports processed as of: June 26, 2026""",False,,,,"Page states ""Last updated: July 3, 2026""; data provided as yearly ZIP files, each containing VAERSDATA/VAERSSYMPTOMS/VAERSVAX CSVs",,"""As of May 8, 2025, the data expanded to include secondary reports alongside primary reports"" which ""are related to already reported events and do not represent additional reports of adverse events"" -- naive row counts will double count events if secondary and primary reports aren't distinguished",upheld,"Confirmed live on vaers.hhs.gov/data/datasets.html: CSV/ZIP files (VAERS DATA, SYMPTOMS, VACCINE) covering 1990-2026, 'Last updated: July 3, 2026 (data processed as of June 26, 2026)' -- matches the first pass's quote. One wrinkle the first pass didn't quote: the page also says 'You will be prompted to enter a unique verification code' before download -- reads as a CAPTCHA-style anti-bot check, not a login/account, so 'auth: none' still holds, but it's not a frictionless direct link."
