source_id,verdict,publisher_total,our_rows,evidence_url,note
fed_dea_arcos_full,COMPLETE,178598026,178598026,https://www.washingtonpost.com/national/2019/07/18/how-download-use-dea-pain-pills-database/,Exact match to the Washington Post-released full ARCOS transaction count (178.6M rows).
FED_USASPENDING_ASSISTANCE_FULL,UNKNOWN,,19902879,https://www.usaspending.gov/,No cheap advertised total for all assistance awards FY2007-FY2026; count API requires heavy paged POST queries.
fed_eoir_case_data,UNKNOWN,,12631225,https://www.justice.gov/eoir/foia-library-0,EOIR FOIA zip has no advertised record count on the landing page.
uk_companies_house_psc,UNKNOWN,,7000000,http://download.companieshouse.gov.uk/en_pscdata.html,Snapshot page lists file sizes not record counts; exactly 7000000 is a suspiciously round number suggesting a load cap.
xc_epa_corporate_crosswalk,UNKNOWN,,5300149,,Internal derived crosswalk; no external publisher total exists.
fed_epa_frs_frs_facilities,UNKNOWN,,3277557,https://www.epa.gov/frs,EPA does not advertise a precise FRS facility count on cheap metadata endpoints.
fed_cms_facility_affiliation,COMPLETE,2260193,2260193,https://data.cms.gov/provider-data/api/1/datastore/query/27ea-46a8/0?limit=1&count=true&results=false,CMS datastore API count is 2260193 - exact match.
FED_SEC_INSIDER_REPORTINGOWNER,UNKNOWN,,1934673,https://www.sec.gov/data-research/sec-markets-data/insider-transactions-data-sets,SEC quarterly insider data sets do not advertise per-file record counts.
fed_fcc_licensing,UNKNOWN,,1689338,https://www.fcc.gov/uls/index.htm,ULS weekly dumps have no advertised total record count.
intl_opensanctions_default,COMPLETE,1285996,1281846,https://data.opensanctions.org/datasets/latest/default/index.json,Live target_count 1285996 vs ours 1281846 (0.3% below a daily-growing collection).
fed_itis_longnames,UNKNOWN,,993346,https://www.itis.gov/,ITIS does not advertise a longnames table row count without querying the database.
intl_ie_cro,UNKNOWN,,821697,https://opendata.cro.ie/,CKAN resource metadata carries no row count for the companies CSV; full-file download so likely complete but unverified.
fed_google_polads_advertiser_geo_spend,UNKNOWN,,614078,https://console.cloud.google.com/marketplace/product/transparency-report/google-political-ads,BigQuery public table row count requires a warehouse-style query (out of bounds here).
fed_epa_icis_air_icis_air_programs,UNKNOWN,,457581,https://echo.epa.gov/tools/data-downloads,EPA ECHO/ICIS-Air download docs do not advertise per-table record counts.
fed_osha_ita_300a_summary_2024,UNKNOWN,,398620,https://www.osha.gov/Establishment-Specific-Injury-and-Illness-Data,OSHA ITA page does not publish a 2024 establishment record count.
fed_govinfo_bill_cosponsors,UNKNOWN,,367742,https://www.govinfo.gov/bulkdata/BILLSTATUS,Cosponsor rows are our own extract from BILLSTATUS XML; no publisher row count exists.
fed_epa_npdes_npdes_se_violations,UNKNOWN,,305478,https://echo.epa.gov/tools/data-downloads,No advertised record count for the NPDES violations table.
fed_fra_crossing_incidents,COMPLETE,251149,251149,https://data.transportation.gov/resource/7wn6-i5b9.json?$select=count(*),Socrata count(*) returns 251149 - exact match.
fed_itis_nodc_ids,UNKNOWN,,209565,https://www.itis.gov/,No advertised count for the ITIS NODC crosswalk table.
fed_irs_soi,UNKNOWN,,179796,https://www.irs.gov/statistics/soi-tax-stats-statistics-of-income,SOI is a family of aggregate statistical tables with no single advertised record count.
fed_epa_icis_fec_case_enforcement_conclusion_facilities,UNKNOWN,,150877,https://echo.epa.gov/tools/data-downloads,No advertised count for the ICIS FE&C conclusion-facilities table.
fed_usgs_orphaned_oil_gas_wells,COMPLETE,117672,117672,https://www.sciencebase.gov/catalog/item/62ebd67bd34eacf539724c56,USGS publication documents 117672 orphaned wells in this dataset - exact match.
FED_MSHA_MINES,COMPLETE,91944,91906,https://arlweb.msha.gov/opengovernmentdata/DataSets/Mines.zip,Downloaded Mines.txt has 91944 data rows vs our 91906 (0.04%); mart is exactly 2x landing - likely mart double-count.
fed_atf_ffl,UNKNOWN,,77514,https://www.atf.gov/firearms/listing-federal-firearms-licensees,ATF monthly FFL listings carry no advertised record count; 77k is plausible for one month but unverified.
xc_uk_sanctions_list,UNKNOWN,,57883,https://www.gov.uk/government/publications/the-uk-sanctions-list,UK publishes ~4k designations; our 57883 is clearly exploded sub-rows so no comparable publisher total.
FED_FEC_PAC_SUMMARY,UNKNOWN,,48395,https://www.fec.gov/data/browse-data/?tab=bulk-data,FEC bulk per-cycle webk files carry no advertised row counts; mart is ~2x landing - possible mart double-count.
fed_hud_assisted_housing_projects,UNKNOWN,,35601,https://www.huduser.gov/portal/datasets/assthsg.html,HUD Picture of Subsidized Households project file has no advertised record count.
fed_cfpb_hmda,SHORT,,28301,https://ffiec.cpfb.gov/data-publication/,National HMDA LAR is millions of records per year (~25M in 2023); our 28301 rows is a tiny subset unless a deliberate filter was intended.
fed_fracfocus_water_source,UNKNOWN,,23747,https://fracfocus.org/data-download,FracFocus does not advertise per-table record counts.
