id,where_it_stands,question,tables_it_needs,tables_we_have,rows_we_have,years_known,oldest_of_them,on_the_shelf,needs
1,part done,Are doctors banned from Medicare still showing up on hospice paperwork?,4,4,2364431,1800-2026,,all tables here,
2,found something,"Which nursing home owners get fined the most per home, and does it repeat?",3,3,449372,1967-2026,,all tables here,
3,nothing there,Do banks that lend money also own the polluting sites?,2,2,5305548,,,all tables here,
4,missing a piece,Do addiction doctors get paid more by drugmakers when they prescribe more?,3,3,39177643,2014-2026,,all tables here,
5,part done,Do people get worse loan terms right after a hurricane or flood?,2,2,71243587,2005-2027,,all tables here,
6,part done,Do dialysis chains that dominate a rural area have worse patient outcomes?,5,5,30613170,2021-2024,,all tables here,
7,missing a piece,Are banned doctors working at clinics serving poor neighborhoods?,3,3,159994,1977-2028,,all tables here,
8,part done,"When a county's jail population spikes, does drug overdose rise later?",3,3,347425,1970-2026,,all tables here,
9,part done,Do the biggest polluters also pay their workers the least?,3,3,3887442,2010-2023,,all tables here,
10,part done,Are the suppliers who bill the most also getting kickback-like payments?,1,1,381228,,,all tables here,
11,part done,Do money-losing hospitals still have doctors taking big drug company payments?,3,3,16967082,2022-2024,,all tables here,HCRIS one vintage
12,part done,Do hospitals with financial trouble also have padded ventilator equipment billing?,4,4,17689980,1966-2025,,all tables here,
13,same as another,Do owners re-register the business right after getting fire-safety fines?,2,2,214455,1800-2026,,all tables here,
14,nothing there,Are clinics claiming to be 'rural' actually sitting in cities?,1,1,5530,1859-2024,,all tables here,
15,found something,Are banned companies still getting paid on disaster relief contracts?,2,2,93321752,1908-2026,,all tables here,
16,nothing there,Are any of them on the federal fraud exclusion list?,2,2,84784,1977-2026,,all tables here,
17,missing a piece,Same as #3 but through a different bank record,2,2,5327985,1975-2026,,all tables here,
18,part done,Do they order more of that device at the hospital they work for?,2,2,15501229,2024-2024,,all tables here,
19,nothing there,Do the ones taking industry payments still get top bonuses?,2,2,1920800,,,all tables here,
20,found a little,"Are the same people running both, and is that a conflict?",1,1,2260193,,,all tables here,
21,part done,Do hospital employees get paid less than the local average wage?,2,2,3625540,2022-2024,,all tables here,
22,found something,Do those same neighborhoods have more toxic factories today?,4,4,276792,2023-2023,,all tables here,
23,found something,How much money did banned suppliers still collect?,2,2,524417,1977-2026,,all tables here,
24,not started,"Nothing to compare yet, program just started",1,1,6637,,,all tables here,
25,found a little,Are centers whose local site shut down still collecting Medicare money as if open?,3,3,221023,1817-2026,,all tables here,
26,part done,Does housing sit empty after a big storm instead of getting rebuilt?,2,2,1794280,1933-2028,,all tables here,
27,found something,Are any of them already banned for past fraud?,4,4,2358060,1977-2026,,all tables here,
28,part done,Do homes exaggerate patient sickness to get paid more?,3,3,31836407,1967-2026,,all tables here,
29,part done,Do hospitals near the most toxic sites fail financially more often?,3,3,115522,1993-2024,,all tables here,
30,found something,"Do new owners appear right after a home gets penalized, like a shell game?",2,2,30605,1800-2026,,all tables here,
