idea_id,bucket,source_ids,source_names,domain,title,idea,chart_shape,key_fields,join_key,time_axis,geo_grain,harm_angle,strength,rigor,caveat
V0001,single,fed_faa_registry,FAA Civil Aircraft Registry,aviation and asset ownership,Aircraft Owned Through Trusts,"Rank registrant names and type_registrant codes to surface trust and LLC registrations, mapped by state. Viewer sees the states that function as aircraft ownership shells.",map plus ranked bars,type_registrant|name|state|county|city|n_number,,yes,state,"Anonymous aircraft ownership hides who is flying where, including in enforcement and trafficking cases.",high,plausible-from-metadata,county and country are cast to numbers which suggests those columns are codes or mis-typed; trust detection needs name-pattern matching.
V0002,single,fed_faa_registry,FAA Civil Aircraft Registry,aviation and asset ownership,Registration Address Clusters,Map the street plus zip_code of registrants to find single addresses hosting dozens or hundreds of aircraft.,map with clustered points,street|city|state|zip_code|name|n_number,,no,point,One mailbox holding hundreds of aircraft is the shape of a shell-ownership industry.,high,plausible-from-metadata,Address strings need normalization; some clusters are legitimate leasing companies.
V0003,single,fed_faa_registry,FAA Civil Aircraft Registry,aviation and asset ownership,Fleet Age by Owner Type,Distribution of year_mfr by type_registrant and certification class. Viewer sees which owner categories fly the oldest airframes.,distribution small multiples,year_mfr|type_registrant|type_aircraft|type_engine|certification,,yes,national,Old airframes in commercial-adjacent categories put passengers on aircraft older than the pilots.,medium,plausible-from-metadata,year_mfr is an untyped passthrough; certification codes need decoding.
V0004,single,fed_faa_registry,FAA Civil Aircraft Registry,aviation and asset ownership,Expiring and Lapsed Registrations,Timeline of expiration_date against last_action_date and status_code. Viewer sees aircraft flying on lapsed or about-to-lapse registrations.,timeline with status bands,expiration_date|last_action_date|status_code|air_worth_date|n_number|state,,yes,state,A lapsed registration is a plane nobody is formally responsible for.,medium,plausible-from-metadata,status_code semantics need the FAA codebook; date casts are try_to_date over text.
V0005,single,fed_faa_registry,FAA Civil Aircraft Registry,aviation and asset ownership,Hidden Co-Owner Chains,Network linking n_number records that share other_names entries. Viewer sees ownership webs spanning many tail numbers.,network graph,other_names_1|other_names_2|other_names_3|other_names_4|other_names_5|name|n_number,,no,none,Co-owner chains are how a single beneficial owner controls a fleet without appearing on any one registration.,wild,plausible-from-metadata,other_names fields are frequently blank; name matching will produce false links.
V0006,single,fed_faa_data_portal,FAA Data Portal catalog,aviation reference,FAA Dataset Inventory,"List FAA datasets by category, geographic scope and last updated date.",dot plot of last-updated dates,dataset_name|category|last_updated|geographic_scope|temporal_coverage,,yes,national,Shows which parts of aviation the FAA publishes on and which it does not.,medium,plausible-from-metadata,Only 4 rows - genuinely too thin for more than an inventory listing; update_frequency is cast to a date which suggests a mis-typed column.
V0007,single,fed_faa_data_portal,FAA Data Portal catalog,aviation reference,Catalog Fields That Do Not Fit,"Show the stray n_number, airport_id, lat and lon columns present on a 4-row catalog table as a data-quality exhibit.",dot plot,n_number|airport_id|lat|lon|dataset_id,,no,point,A catalog table carrying aircraft-level columns is a sign the ingest merged two different things.,wild,plausible-from-metadata,This is a data-quality artifact rather than a finding about the world.
V0008,single,fed_cftc_cot_financial,CFTC Commitments of Traders financial,commodity and financial markets,Leveraged Money Versus Dealers,Timeline of lev_money_positions_long_all against dealer_positions_short_all per market. Viewer sees speculative crowding building before market stress.,timeline small multiples by market,market_and_exchange_names|lev_money_positions_long_all|lev_money_positions_short_all|dealer_positions_short_all|report_date_as_yyyy_mm_dd,,yes,national,Speculative crowding in rate and index futures is what turns a market wobble into a pension loss.,medium,plausible-from-metadata,"3,163 rows suggests a partial history; position columns are untyped passthroughs. The mart lives under the education schema, which looks like a mis-filed domain."
V0009,single,fed_cftc_cot_financial,CFTC Commitments of Traders financial,commodity and financial markets,Weekly Position Swings,"Distribution of the change_in columns per trader class, to show which class moves fastest and largest.",distribution by trader class,change_in_lev_money_long_all|change_in_dealer_long_all|change_in_asset_mgr_long_all|change_in_open_interest_all|report_date_as_yyyy_mm_dd,,yes,national,Whoever moves first and largest sets prices everyone else pays.,medium,plausible-from-metadata,Partial history; a market-by-market normalization is needed to compare.
V0010,single,fed_cftc_cot_futures,CFTC Commitments of Traders futures,commodity markets,Speculators in Food Commodities,Timeline of noncommercial versus commercial long positions in agricultural contracts. Viewer sees speculative share of food markets rising ahead of price spikes.,timeline small multiples by commodity,market_and_exchange_names|noncommercial_positions_long_all|commercial_positions_long_all|open_interest_all|as_of_date_in_form_yyyy_mm_dd,,yes,international,Speculation in wheat and corn futures shows up as grocery prices in the poorest households.,high,plausible-from-metadata,"16,764 rows is likely a partial history; commodity grouping needs parsing out of the market name text."
V0011,single,fed_cftc_cot_futures,CFTC Commitments of Traders futures,commodity markets,Nonreportable Traders Squeezed Out,Timeline of nonreportable_positions_long_all as a share of open interest per market. Viewer sees small traders shrinking out of markets over time.,timeline of a share,nonreportable_positions_long_all|nonreportable_positions_short_all|open_interest_all|market_and_exchange_names,,yes,national,Small traders vanishing means price formation is left entirely to institutions.,medium,plausible-from-metadata,Partial history; nonreportable is a residual category not a real trader count.
V0012,single,fed_cftc_cot_futures,CFTC Commitments of Traders futures,commodity markets,Old Versus Other Crop Year Split,Compare open_interest_old against open_interest_other per agricultural market to show positioning across harvest cycles.,timeline with paired bands,open_interest_old|open_interest_other|open_interest_all|market_and_exchange_names,,yes,international,Positioning across harvest years is where a bad harvest becomes a price shock for consumers.,wild,plausible-from-metadata,Only meaningful for agricultural contracts; partial history.
V0013,single,fed_cms_federally_qualified_health_center_enrollments,CMS FQHC Enrollments,community health,Safety-Net Clinic Coverage Map,"Map FQHC enrollments by zip and state, showing counties with no federally qualified health center at all.",map with absence highlighted,zip_code|state|city|organization_name|enrollment_id|ccn,,no (enrollment snapshot),county,Counties with no FQHC are counties where uninsured people have no primary care option at all.,high,plausible-from-metadata,Snapshot with no time axis; incorporation_state is cast to a double which means that column is likely broken.
V0014,single,fed_cms_federally_qualified_health_center_enrollments,CMS FQHC Enrollments,community health,Nonprofit Versus For-Profit Safety Net,Ranked bars of FQHC counts by proprietary_nonprofit and organization_type_structure per state. Viewer sees states where the safety net is run for profit.,ranked bars,proprietary_nonprofit|organization_type_structure|state|organization_name|enrollment_id,,no,state,A for-profit safety net answers to owners before it answers to uninsured patients.,high,plausible-from-metadata,Snapshot only; type-structure codes need decoding.
V0015,single,fed_cms_federally_qualified_health_center_enrollments,CMS FQHC Enrollments,community health,Clinic Chains Behind Local Names,Group by associate_id and doing_business_as_name to find single owners operating many clinics under different local names.,network graph,associate_id|organization_name|doing_business_as_name|npi|ccn|state,,no,state,Local-looking clinics owned by one distant operator means one business decision can close care in a dozen communities.,high,plausible-from-metadata,associate_id must be checked for population and distinctness before it is trusted as an owner key.
V0016,single,fed_cms_federally_qualified_health_center_enrollments,CMS FQHC Enrollments,community health,Age of the Safety Net,Distribution of incorporation_date by state. Viewer sees where the safety net is old and established versus newly and thinly built.,distribution by state,incorporation_date|state|organization_name|proprietary_nonprofit,,yes (incorporation dates),state,Newly built safety nets in high-need states are thin and fragile exactly where they are needed most.,medium,plausible-from-metadata,incorporation_date is a try_to_date cast over text and may be widely null.
V0017,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Injury volume by product ranked,"Weighted national injury estimates by product code, ranked, naming the consumer products that put the most people in emergency rooms.",ranked bars,product_code_1|statistical_weight|data_year|diagnosis_code,,yes,national,Every bar is thousands of real emergency room visits caused by something sold as safe.,high,plausible-from-metadata,Product codes need the NEISS code lookup to be readable; statistical_weight must be applied or counts are wrong.
V0018,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Child injuries by product and age,"Heatmap of product against age band for patients under eighteen, weighted, showing which products hurt which ages.",heatmap grid,age|product_code_1|statistical_weight|body_part_code|diagnosis_code,,yes,national,Products concentrated on toddlers are design decisions with a body count.,high,plausible-from-metadata,NEISS encodes infant ages in a special numeric range meaning months and mis-parsing that inverts the chart.
V0019,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Injury disparity by race and product,"Weighted injury rates by race code within product category, testing whether specific product harms fall unevenly.",dot plot,race_code|hispanic_code|product_code_1|statistical_weight|disposition_code,,yes,national,"If a product injures one group far more, that is a distribution and design failure, not bad luck.",high,plausible-from-metadata,Race coding changed over the survey's history and is often unknown; population denominators are not in this table.
V0020,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Product harm early warning curves,"Small multiples of weighted injury counts by product over years, highlighting products whose curve bends sharply upward before any recall.",small multiples,product_code_1|data_year|statistical_weight|treatment_date,,yes,national,Catching a product's injury curve rising years before a recall is the difference between warning people and counting them.,high,plausible-from-metadata,Sampling noise at low volumes; a rising curve can reflect product popularity rather than risk without a sales denominator.
V0021,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Severity mix by disposition,"Share of cases admitted or transferred versus treated and released, by product, separating the products that maim from those that scrape.",ranked bars,disposition_code|product_code_1|statistical_weight|diagnosis_code,,yes,national,Admission rate is the honest measure of how badly a product hurts people.,high,plausible-from-metadata,Disposition codes need the lookup table; small-cell instability at product level.
V0022,single,fed_cpsc_neiss,FED_CPSC_NEISS,consumer safety,Fire alcohol and drug involvement,"Timeline of cases flagged with fire, alcohol or drug involvement by product family, showing the contexts in which products turn dangerous.",timeline,fire_involvement|alcohol_involved|drug_involved|product_code_1|data_year,,yes,national,Context flags separate a product defect from a use hazard nobody was warned about.,medium,plausible-from-metadata,Involvement flags are often simply unrecorded rather than negative.
