id	status	score	schema	table	rows	name_cols	kind	has_id	has_state	bridge_to	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
N:HOUSING__FED_CFPB_HMDA_HISTORIC	finding	15.8	HOUSING	HOUSING__FED_CFPB_HMDA_HISTORIC	44992667	AGENCY_NAME, LOAN_PURPOSE_NAME, OWNER_OCCUPANCY_NAME, PREAPPROVAL_NAME, ACTION_TAKEN_NAME +7	organizations	no	yes	FED_CFPB_HMDA_ARID2017_LEI_XREF, FED_HUD_DATA, FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES +145	MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision hmda-historic-originations-only		Bridge works: agency code + respondent id with leading zeros stripped hits the ARID xref for 5,388 of 7,473 lenders, 92.8% of rows; the top 10 names check out. loanDepot (7/26-4599244) denied 56.3% of 1.45M applications in 2015-17 vs Wells Fargo 13.8%, Quicken 26.2%, Chase 8.5%. Boring reasons: an online all-comers funnel, and purchased-loan rows shrink the banks' rates. // F-026 B: loanDepot denied 74% of refinance applications in 2015-17, but only 8% of home-purchase ones, below Wells Fargo's 15%	F-026	claude	2026-09-24
N:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	probed	13.7	ECONOMICS	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	20000000	PARENT_AWARD_AGENCY_NAME, AWARDING_AGENCY_NAME, AWARDING_SUB_AGENCY_NAME, AWARDING_OFFICE_NAME, FUNDING_AGENCY_NAME +12	people	yes	yes		MONEY PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	capped at 1M rows per FY, 43-120 days, mostly Jul-Sep; use _FULL_R2	Top repeated names: AmerisourceBergen 858k rows, Cardinal 627k, National Industries for the Blind 499k, all small drug and supply orders. UEI to name agrees 99.998% (420,990 UEIs, max 2 names) and one state 97.7%. The ID is clean, so there's no name problem to solve; Lockheed carries 100 UEIs.		sweep-d	2026-09-24
N:TRANSPORT__FED_FRA_CROSSING_INCIDENTS	probed	13.7	TRANSPORT	TRANSPORT__FED_FRA_CROSSING_INCIDENTS	251149	RAILROAD_NAME, OTHER_RAILROAD_NAME, MAINTENANCE_RAILROAD_NAME, HIGHWAY_NAME, HAZMAT_RELEASED_NAME +3	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	MONEY HARM DEMOGRAPHIC OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision		Top: Union Pacific 24,987 crossing crashes (3,213 killed), CSX 19,605, Conrail 15,469. Name bridge to FRA_RAIL_DEATHS_BY_RAILROAD: 497 of 1,065 names hit, and 495 of those agree on RAILROAD_CODE (99.6%), covering 98.4% of rows. Trap: INCIDENT_YEAR is 2-digit text, so use DATE.		sweep-d	2026-09-24
N:JUSTICE__XC_MAPPING_POLICE_VIOLENCE	probed	13.1	JUSTICE	JUSTICE__XC_MAPPING_POLICE_VIOLENCE	15476	VICTIM_S_NAME, CONGRESSIONAL_REPRESENTATIVE_FULL_NAME_HTTPS_BALLOTPEDIA_ORG_UNITED_STATES_HOUSE_OF_REPRESENTATIVES, STREET_ADDRESS_OF_INCIDENT	people	no	yes	FED_COURTLISTENER_JUDGES, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS +42	HARM PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS_OF_INCIDENT, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		Repeat victim names are 'Name withheld by police' 588 (+4 spelled 'polce') and common names (Michael Johnson 4). Officers are named on 3,825 of 15,476 rows; top is Juan David Ortiz TX with 4 (a known case). Agency to assistance recipient bridge: 458 of 4,201 agencies match on name, and 214 of those also match on state (47%).		sweep-d	2026-09-24
N:PROCUREMENT__FED_USASPENDING_BULK	skip	12.3	PROCUREMENT	PROCUREMENT__FED_USASPENDING_BULK	50000	PARENT_AWARD_AGENCY_NAME, AWARDING_AGENCY_NAME, AWARDING_SUB_AGENCY_NAME, AWARDING_OFFICE_NAME, FUNDING_AGENCY_NAME +12	people	yes	yes		MONEY PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		50k-row sample of CONTRACTS_FULL: same top names (NIB 7,252, Grainger 3,583), UEI to one name 100%. Anything here is better done on the full table.		sweep-d	2026-09-24
N:ECONOMICS__FED_SBA_LOANS	probed	12.2	ECONOMICS	ECONOMICS__FED_SBA_LOANS	2174502	BORROWER_NAME	organizations	no	yes	FED_IRS_BMF, FED_IRS_PUB78_ELIGIBLE_DONEES, FED_IRS_AUTO_REVOCATIONS, FED_IRS_REVOCATION, FED_FAC_SINGLE_AUDIT +145	MONEY MAP DEMOGRAPHIC OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		Top names are franchise brands, not firms: SUBWAY 1,517 loans in 52 states. Charged off: Matco Tools 99/318 (31%), Cold Stone 111/534 (21%), Quizno's 3 spellings 220/1,326 (17%) vs Dunkin 16/415 (4%); all 7A about 12%. Bridge to IRS BMF on name+state: 180 of 1.76M names, ZIP agrees 20%, so namesakes. BMF is nonprofits; no ID bridge for SBA		sweep2-d	2026-09-24
N:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	probed	12.1	ECONOMICS	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	128155142	AWARDING_AGENCY_NAME, AWARDING_SUB_AGENCY_NAME, RECIPIENT_NAME, RECIPIENT_NAME_RAW, RECIPIENT_PARENT_NAME +1	people	yes	yes		MONEY PEOPLE MAP OUTCOME TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		Top names are placeholders: REDACTED DUE TO PII 29.9M rows, MULTIPLE RECIPIENTS 21.2M (sums to $41T, the $9.99B ceiling trap), INDIVIDUAL/PRIVATE 1.0M. Next are mortgage servicers (PennyMac 693k rows) at $0 obligation, no UEI: loan-guarantee rows. UEI is solid: 354,619 UEIs, 99.99% one name, max 3		sweep2-d	2026-09-24
N:JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS	probed	12.0	JUSTICE	JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS	10838	INSTITUTION_NAME, BANK_NAME, BANK_HOLDING_COMPANY	organizations	no	yes	FED_COURTLISTENER_POSITIONS, FED_COURTLISTENER_DOCKETS, INTL_UK_SANCTIONS_LIST, XC_UK_SANCTIONS_LIST, FED_OFAC_SDN +145	MONEY HARM MAP OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	CMP_AMOUNT_TOTAL repeats within a docket; one penalty can read twice	Top name FIRST STATE BANK x115 is many banks; 82 'Redacted'. Real ID is there: CERT_NUMBER on 10,606/10,838 (23 are cert '0'). 3,695 of 4,242 certs land in SOD; bank name first word agrees 98.9%, state 99.3%. Top by orders: Truist (68). CMP repeats per docket: CBW $20.4M 2024 + $20.5M 2025 is one penalty		sweep2-d	2026-09-24
N:JUSTICE__XC_WAPO_FATAL_FORCE	probed	12.0	JUSTICE	JUSTICE__XC_WAPO_FATAL_FORCE	10430	VICTIM_NAME	people	no	yes	FED_COURTLISTENER_JUDGES, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS +42	HARM PEOPLE MAP DEMOGRAPHIC OUTCOME	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	MENTAL_ILLNESS_RELATED and BODY_CAMERA_PRESENT are 'false' on every row; at least 3 people entered twice	Repeats are namesakes (Michael Johnson x5); 318 null names. At least 3 people entered twice on the same date with the same age (Kelly G. Abbott WI, Thomas Phan CA, Eduardo Munoz TX). Bridge: MPV carries WAPO_ID, 10,348/10,430 land, date agrees 95.7%, last name 91.4%; name+state alone hits 76%		sweep2-d	2026-09-24
N:JUSTICE__FED_FJC_ARTICLE_III_JUDGES	probed	11.8	JUSTICE	JUSTICE__FED_FJC_ARTICLE_III_JUDGES	4074	LAST_NAME, FIRST_NAME, MIDDLE_NAME, COURT_NAME_1, COURT_NAME_2 +4	people	no	yes	FED_COURTLISTENER_JUDGES, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS +42	PEOPLE OFFICIALS MAP DEMOGRAPHIC OUTCOME	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision		Repeats are namesakes (John Davis x4, James Moody x4). Bridge: CL judges FJC_ID = FJC JID (not NID): 3,710/4,074 land, last name 99.5%, birth year 99.8%. The 364 misses are 2019-26 appointees whose JID just copies NID; name bridge picks up 3,777 at 97.6% birth-year agree. CL FTM money filled on 409 people only		sweep2-d	2026-09-24
