rank,bucket,id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,notes
1,Instant wow,v2-001,HEALTH,crawl,"Pills shipped per county, the DEA ledger","Which counties received the most opioid doses per resident, and in which years?",The reader sees their own county on a map of the flood.,HEALTH__FED_DEA_ARCOS,single table,map,not started,178M rows. Buyer address gives county. Morphine-equivalent column already there.
2,Instant wow,v2-354,TRANSPORT,crawl,Ship tracks,What do 58M position pings look like on a coast?,The wow map.,MARITIME__FED_NOAA_AIS,single table,map,not started,MARITIME schema.
3,Instant wow,v2-309,HOUSING,crawl,Redlining maps,"What did the 1930s maps say about each neighborhood, in their own words?",The original descriptions are the wow.,HOUSING__FED_MAPPING_INEQUALITY,single table,map,not started,Full text and map shape.
4,Instant wow,v2-382,HISTORY,crawl,"Slave voyages, port to port","Which ports sent and received the most voyages, and how many died at sea?",A flow map across an ocean.,HISTORY__FED_SLAVEVOYAGES_TRANSATLANTIC|HISTORICAL_RECORDS__FED_SLAVEVOYAGES_INTRAAMERICAN,"stack, same shape",flow,not started,Column names are research codes.
5,Instant wow,v2-356,CORPORATE_REGISTRY,crawl,Offshore leaks network,"Who connects to whom across the Panama, Paradise and Pandora papers?",A graph with 3.3M edges.,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_RELATIONSHIPS|CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES|CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS|CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,ICIJ node ID,other,not started,"Same-source ID, not a catalog key."
6,Instant wow,v2-368,SCIENCE,crawl,Earthquakes since records,"Where and how deep, magnitude 2.5 and up?","443K quakes, one map.",SCIENCE__FED_USGS_EARTHQUAKES,single table,map,not started,
7,Instant wow,v2-281,REFERENCE,crawl,The tree of life,How do 993K species entries nest from kingdom down?,A sunburst of everything named.,REFERENCE__FED_ITIS_TAXONOMIC_UNITS|REFERENCE__FED_ITIS_HIERARCHY,"stack, same shape",other,not started,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
8,Instant wow,v2-285,REFERENCE,crawl,Place names of America,"Which names repeat most across the country, and where?","1.2M names, one search box.",REFERENCE__FED_USGS_GNIS_ALL_NAMES,single table,map,not started,Historical and variant names included.
9,Instant wow,v2-133,ENVIRONMENT,crawl,Orphaned wells map,Where are the abandoned oil and gas wells nobody will plug?,Dots that look like a rash.,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,single table,map,not started,
10,Instant wow,v2-130,ENVIRONMENT,crawl,Storm damage by year,Which storm types cause the most dollar damage and deaths per year?,Tornado tracks on a map.,ENVIRONMENT__FED_NOAA_STORM_EVENTS|ENERGY_ENVIRONMENT__NOAA_STORMS_BY_STATE_EVENT_AGG,"stack, same shape",timeline,not started,Rollup exists in PUBLIC.
11,Instant wow,v2-120,ENVIRONMENT,crawl,Dirtiest power plants,Which plants emit the most CO2 per megawatt-hour?,Names and owners on a map.,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,single table,map,not started,
12,Instant wow,v2-129,ENVIRONMENT,crawl,High-hazard dams in poor condition,Which dams would kill people if they failed and are rated poor?,Map plus years since last inspection.,ENVIRONMENT__FED_NID_DAMS,single table,map,not started,
13,Reader looks up their own,v2-161,ENVIRONMENT,run,Your tap water,"For a zip: which system, its violations, lead samples, visits, milestones?",A lookup a reader will try on their own address.,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS|ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES|ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS|ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,PWSID,other,not started,"PWSID: 10 tables, 45 edges."
