rank,title,question,side_a,side_b,side_c,joins_on,key_strength,a_hit_means,a_miss_means,visual,story
1,The charity hospital that pays like a bank,Do the nonprofit hospitals with the highest executive pay give the least charity care?,"HEALTH__HOSPITAL_OFFICER_PAY - named officer, title, hours, total pay, from the 990","HEALTH__FED_CMS_HCRIS - charity care dollars, margin, assets, per fiscal year",HEALTH__FED_CMS_HOSPITAL_COMPARE - star rating,"EIN for the 990 side, CCN for the Medicare side",EIN steel 86-100%; the EIN-to-CCN hop is the risk,"A hospital paying a CEO millions while writing off almost nothing is on the record, by name","Pay tracks size, not stinginess, and the nonprofit label survives","scatter, pay per hour against charity care share, one dot per hospital","Two filings that never meet: the tax form says what he earns, the Medicare report says what she gave away"
2,"Paid by the sponsor, running the trial",Are the doctors running a drug trial on the sponsor's payroll while they run it?,"HEALTH__FED_CLINICALTRIALS - sponsor, phase, condition, sites, investigator","HEALTH__FED_CMS_OPEN_PAYMENTS - which company paid which doctor, how much, what for",HEALTH__FED_CMS_NPPES - name to NPI so the investigator resolves,NPI once the investigator name resolves,NPI steel 100%; investigator name to NPI is the weak hop,The person testing the drug was being paid by its maker in the same year,"Investigators are paid after, not during, and the timing defence holds","timeline per trial, payment bars under the trial bar, one row per investigator",FDA registry and CMS payments are two agencies with no reason to talk
3,Who drinks from the failing pipe,"Which nursing homes, clinics and subsidised buildings sit inside a water system that keeps failing?",ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT - health-based violations per system,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS - the zips and cities each system serves,HEALTH__FED_CMS_NURSING_HOME | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS,PWSID then ZIP,"PWSID steel, 45 edges; zip to facility is a plain lookup",A named nursing home is inside a system with a decade of health violations,Violating systems serve mostly empty land and nobody vulnerable drinks it,"map, water systems shaded by violations, vulnerable buildings as dots on top","EPA tracks the pipe, CMS and HUD track the people, nobody joins them"
4,The government's worst supplier,Does the federal government keep buying from the companies that injure workers and pollute most?,"ECONOMICS__FED_USASPENDING_CONTRACTS - who won, which agency, how much",LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 - injuries and deaths per establishment,"ENVIRONMENT__FED_EPA_ECHO - inspections, violations, penalties | PROCUREMENT__FED_SAM_EXCLUSIONS","UEI on the contract side, EIN on the injury side","UEI 10-80% sparse; UEI-EIN cross is 2-16%, so this is a sample not a rate",A named vendor is in the worst tenth on injuries and still holds nine-figure contracts,The overlap is a handful of firms and the procurement system looks clean,"three-column ranking, contract dollars, injury rate, penalty total, sorted by dollars","Procurement, labour and environment are three agencies that never compare notes"
5,The judge who owned the company,Did any judge hold stock in a company that was a party in their own courtroom?,"JUSTICE__FED_COURTLISTENER_INVESTMENTS - holding, description, value, transaction",JUSTICE__FED_FJC_IDB_CIVIL - the parties in every district civil case,"JUSTICE__FED_COURTLISTENER_POSITIONS - which judge sat on which court, when",CL_PERSON_ID for the judge; company name match for the litigant,CL_PERSON_ID steel; the name match to a litigant is the whole risk,"A judge, a case, a holding, and overlapping dates, all on the record","Recusal worked, and the absence is itself the finding","three-column strip per judge, holdings, cases, dates, overlap highlighted",The disclosure form and the docket are both public and were never laid on top of each other
6,Offshore names on the donor list,Do people named in the offshore leaks also show up as US political donors or licensed doctors?,"CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS - officers, directors, shareholders","FINANCE__FED_FEC_INDIV_CONTRIBUTIONS - donor name, city, employer, occupation","HEALTH__FED_CMS_NPPES - the provider registry, for the doctor half",NAME@ZIP,"fuzzy, 8% single-word real; multi-word names only, show as a sample",A name that appears in a Panama-era leak also appears giving to a campaign,Common names swamp it and the honest answer is the method does not resolve people,"three-column list, leak entity, donation, licence, with a confidence badge per row","A journalism leak, a campaign filing and a medical registry have never shared a key"
7,Cosponsors who share a wallet,Do the members who cosponsor bills together also draw on the same donors?,"POLITICS__FED_GOVINFO_BILL_COSPONSORS - who signed on to what, when",POLITICS__MEMBER_PAC_MONEY - PAC money and outside spending per member,POLITICS__FED_VOTEVIEW_MEMBERS - ideology score | POLITICS__MEMBER_SPINE,BIOGUIDE,"proven family, 47 in the catalog",Two members far apart on ideology cosponsor constantly and share funders,Cosponsorship tracks party and the money adds nothing new,"network graph, members as nodes, cosponsorship as edges, node colour by shared funders",The bill feed and the money feed are both famous and rarely overlaid as one graph
8,The county that got the pills and the cells,"Did the counties flooded with opioids years ago end up with the jails, not the treatment?","HEALTH__FED_DEA_ARCOS - every controlled shipment, buyer, dose","JUSTICE__XC_VERA_INCARCERATION_TRENDS - jail and prison population by race, by year",HEALTH__FED_CDC_DRUG_POISONING_COUNTY | DIM_COUNTY for population,FIPS,"county family, 73-100%, 78 edges",Pill volume in 2010 predicts jail rate in 2020 better than it predicts treatment capacity,Both track poverty and the pill number adds nothing on top,"animated map, three layers, pills then deaths then jail, twenty years","DEA, CDC and a nonprofit prison dataset on one county code"
9,Downstream of a dam nobody fixed,Which nursing homes and subsidised buildings sit below a dam rated poor with a high hazard?,"ENVIRONMENT__FED_NID_DAMS - hazard if it fails, condition, last inspection, capacity","HEALTH__FED_CMS_NURSING_HOME - every certified home, address, residents",HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS - subsidised buildings and their tenants,"coordinates, spatial",not a catalog key; a distance join that has to be built and proven,A named home full of people who cannot walk sits below a poor-rated dam,Nothing vulnerable is downstream and the inspection backlog is a paperwork story,"map with dam as a source and a shaded downstream cone, facilities as dots","Army Corps, CMS and HUD, three agencies, one physical fact"
10,The parent company x-ray,"For one global parent: every subsidiary, every polluting site, every share of stock?","ECONOMICS__INTL_GLEIF_RELATIONSHIPS - parent and subsidiary, with dates","ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK - facility to corporate owner, with confidence","FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE - the ticker, for the listed ones",LEI then FRS_ID then CIK,LEI steel 3.2M matched; the LEI-to-CIK hop is the thin one,One ticker resolves to hundreds of sites and a violation record nobody aggregates,Ownership data is too sparse to roll up and the tree collapses,"tree, parent at the root, subsidiaries as branches, facilities as leaves sized by penalty","A global ID registry, an EPA crosswalk and a stock ticker on one page"
11,"Ransomware, then the care","When a hospital is hit by ransomware, do its quality scores drop afterwards?","JUSTICE__XC_RANSOMWARELIVE_VICTIMS - claimed victim, gang, website, date","HEALTH__FED_CMS_HOSPITAL_COMPARE - star rating, mortality, safety, readmission","HEALTH__FED_CMS_HCRIS - the finances, before and after",hospital name match to CCN,"name match, not a catalog key; the resolve is the work",Measured mortality or safety worsens in the reporting period after the attack,"Scores are too lagged and coarse to see it, which is its own point about the measures","before-and-after slope per hospital, attack date as the dividing line",A ransomware leak-site scrape and a CMS quality file have never met
12,The lobbyist who used to write the rules,"Do former government staff lobby the agency they left, and does their client's money follow?",POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS - the covered government job they held,"EDUCATION__FED_SENATE_LDA_FILINGS - client, spend, issue, agency lobbied",ECONOMICS__FED_USASPENDING_CONTRACTS - what that client won from that agency,filing ID then client name to UEI,same-source ID is clean; client to vendor is a name match,A named person left an agency and lobbied it for a client that then won its contracts,Prior-position flags are too vague to place a person at a specific agency,"three-stage flow, person to agency to client to dollars","Two lobbying tables and a spending table, one story, three filings"
